Dates,Scores,Reviews
Apr 7 2024,positive, one year shy of its 70th anniversary godzilla makes a return to the big screen with a tojo effort that makes the american renditions look like drivein disasters in godzilla minus one at the tale end of world war ii a japanese kamikaze pilot ryunosuke kamiki makes an emergency landing on a small mechanics island where he hopes no one will figure out that hes deserted in the face of fear his worst nightmares are realized but no one will bear witness as godzilla strikes and kills nearly everyone on the island except our protagonist and one mechanic as he returns home the destruction of the war has left the country reeling and with his parents dead he seems adrift in his shame and frustration returning to work as a necessity its while working on a wooden fishing boat blowing up floating mines that he and his crewmates discover that godzilla is back and will be heading for mainland japan they cant stop him the first time but a crew of retired military seamen will certainly try to stop his eventual second arrival while the film doesnt entirely deal with the human devastation the war caused nor the nuclear origins of godzilla it paints the japanese people as beleaguered but undeterred in rising from the devastation and preventing it from happening again that theme succinctly frames the postwar struggle of japanese society and its intent to rise from the ashes stronger and better it gives the narrative added resonance even with all the monster elements that make it fit within the long history of godzilla films the performances range from passive kamiki and minami hamabe as his wife to excessive kuranosuke sasaki as the gruff boat captain with only yuki yamada as the young crewman who didnt get to fight in the war due to his age striking the right balance while those exaggerated performances fit better within a traditional godzilla movie this felt like it was trying to be a more crafty disaster movie than monster movie to that end the visual effects were largely good though the opening sequence where kamiki is landing on the island looked incredibly chintzy as if they wasted their budget on everything else and had to make do with the start beginning poorly can have its benefits but thats a rare situation and this wasnt one of them godzilla minus one in spite of its flaws is an enjoyable film that hits its beats nearly perfectly eliciting emotion with careful precision the king of monsterdisaster films remains such in his latest outing while it might not be the dramatic interpretation we should have gotten its still immensely entertaining
Apr 1 2024,positive, godzilla minus one 2023 is set in postworld war ii asia and follows koichi shikishima ryunosuke kamiki a former japanese kamikaze fighter pilot who is disgraced and feels guilt ridden over choosing to obey his filial duty of surviving over his countrys orders to die for his nation as japan begins to recover koichi cannot move on and follow his heart by marrying noriko minami hamabe when godzilla begins attacking japan he finds a path to redemption and is determined to stop godzilla so japan does not have to fall into ruin again japanese godzilla movies were a staple of my childhood and a vague memory i have not revisited them in adulthood nor seen the more recent installations godzilla 1998 starring matthew broderick was an utter disappointment and godzilla 2014 was barely a notch above though the subsequent monsterverse movies have shown some promise godzilla minus one is critically acclaimed for a reason it has excellent production values has a majority japanese cast and covers fresh territory by commencing during a time that has only been alluded to in the mythology godzilla was a dinosaur that mutated because of exposure to nuclear radiation this godzilla is thick a friend with zero interest in seeing the film said that this kaiju has boobs which is hard to unsee but neglected to mention the giant thighs and butt godzilla is downright curvy but objectifying this snowflake spiked overgrown lizard would be a mistake according to the mythology westerners treat godzilla like a monster but japan treats him as a destructive god if they were describing godzillas regeneration abilities which renders the creature immortal they are right equally intimidating is the laserfocused redeyed stare which evinces a determination and focus that indicates brains backing godzillas brute force a favored feature is when godzillas spikes rise and glow bright white blue to indicate when godzilla is going to use their atomic breath which has the effect of an atomic bomb though hiroshima and nagasaki are never explicitly referenced the shockwave goes in and out like breath and wreaks complete havoc blasting things away then sucking them back in godzilla becomes a sanitized denationalized symbol of japans conquerors in world war iia chaotic merciless death dealer godzillas attacks are random and undeserving a force of nature unlike the consequences of world war ii which were arguably earned initially it seemed promising that godzilla minus one was set in postworld war ii japan i overshot my expectations and thought that the film would grapple with the atrocities that they committed during that era but instead it deals with the defeat and demoralization koichi is easy to like since he is insubordinate to a bellicose regime so it is hopefully unlikely that if the film rewound koichi would not be caught doing anything that should earn him a ticket to hell he still feels guilty because writer and director takashi yamazaki is still japanese and everyone has a certain degree of national pride so he frames this disobedience as a failure to protect the defenseless when he has the ability to fight there would be no need to defend people if japan had not become allies with the nazis and started attacking people as koichi rebuilds his life including saving noriko he cannot enjoy it noriko does not have a fleshedout character she saves babies wants to live and begs kochi to confide in her yamazaki does a great job of showing that time is passing by showing the environment transform from ruins to solid structures and the fashion changes from traditional to western when noriko decides to get a job and wears a suit it felt as if the camera treated her like the equivalent of pamela anderson running on the beach in the end her will to live becomes optional when godzilla decides that he wants to take the same train that she is on and she just appears to give up honestly same girl same no one is going to save japan the us even rescinds demilitarization and says may the odds be ever in your favor because it is too busy with the soviet union the japanese government gets nothing but shade from its citizens and the characters deride their government as secretive and unhelpful so a rag tag bunch of navy veterans now family men and one former kamikaze decide to forge a plan to stop an immortal while godzilla minus one sidesteps the awkwardness of japans role by slamming its government it was a little troubling how easy it was to find battleships and fighter planes that were supposed to be decommissioned yes one ship is officially returned to japan only for godzilla to immediately destroy it but the nation that raped its neighbors is not someone that you want hiding weapons two seconds later yamazaki is using godzilla minus one to create an alternate history where the world war ii japanese veterans are not possible war criminals but valiant defenders of people the protagonists last name shikishima happens to be the same as the shikishima squandron which conducted the first successful kamikaze attack on the us ew it comes from shikishima no yamato gokoro an edo era motoori noringas tanka a short poem which is hung in the yushukan war museum which was built in the late nineteenth century but honors kamikaze pilots in world war ii the poem reads if someone asks about the yamato spirit spirit of oldtrue japan of shikishima a poetic name of japanit is the flowers of yamazakura that are fragrant in the asahi rising sun by erasing history as the aggressor and turning the japanese into helpless outmatched defenders yamazaki is getting the ordinary moviegoer who may not even know about the horrors of the pacific theater to cheer for the japanese to become a militarized nation again by emphasizing their humanity against oversized primordial monsters human monstrosities are hidden from view japan has delivered inconsistent apologies for its torture of children and women whom they had the nerve to call comfort women war supplies public toilets or female ammunition right wing elements in japan try to suppress this history and claim it never happened they even demand that other countries comply with their demands to take down statues memorializing their victims if this movie existed outside of this push for revisionist history alternate history would be understandable because not every movie about japan must be a downer but there should be some concern that our mindless monster movie may have a hidden agenda which outsiders are oblivious to godzilla minus one gets awkward as the narrative trajectory finds everyone rooting for koichi to become a sincere kamikaze pilot again yamazaki deserves credit for finding a way that does not feel overtly orwellian to reverse the essence of being a kamikaze in the twentieth century context without reverting to its origins ie  divine wind or used to describe a typhoon that scattered attacking kublai khans fleet of ships in the thirteenth century redefining kamikazes meaning is consistent with his rehabilitation of japan by erasing history and feels like cheating but as long as there is room for a sequel which there is maybe the next iteration will be less problematic so everyone can enjoy the monster mash spectacle in peace
Mar 29 2024,positive,imagine asking not how cool would it be if rather how can our monster test our fullyrealized human characters and how can we use our monster as a tool of social commentary a means to explore and critique aspects of the culture that created it 
Mar 21 2024,positive,godzillas properly menacing the emotional moments work and it makes you excited to see what toho has coming next
Mar 12 2024,positive, while it might have felt like the cinema of 2023 was all about barbie and the bomb there were plenty of other films that likewise made their marks whether critically commercially or controversially here then are my picks for the 10 best movies of 2023 followed by 10 worthy runnersup and other assorted superlatives 1 poor things yorgos lanthimos the best film of 2023 working from alasdair grays samenamed novel director yorgos lanthimos whose 2018 release the favourite earned my vote as the best picture of that year go here and screenwriter tony mcnamara have fashioned a true oddity a frankenstein meets forrest gump flick filtered through a feminist focus emma stone taking a bold leap up to the level of todays greatest actresses stars as bella a suicide victim whos brought back to life in the most fantastical way by quirky scientist godwin baxter willem dafoe under the tutelage of godwin the childlike bella receives an education within the strict confines of home but as she matures she realizes she wants to explore the outside world and thus she takes off with a seedy lawyer a hilarious mark ruffalo growing ever more bold as she samples lifes perils and pleasures and in the process discovers her true self to say that poor things isnt for everyone is an understatement yet those willing to go along for the sometimes gross yet always giddy ride will experience a movie that much like barbie illustrates how a woman who knows nothing of our worlds crippling problems and prejudices might carve her own path in pursuit of becoming fully human and fully independent 2 the holdovers alexander payne no stranger to my 10 best lists  the descendants was my 1 for 2011 while 2004s sideways and 1999s election also placed extremely high  director alexander payne working with scripter david hemingson serves up a smallscale gem that by utilizing a 1970s setting manages to recall the intimate cinema of that period paul giamatti is perfect as paul hunham a grouchy professor at a new england prep school despised by practically everyone hes given the unenviable task of looking after a group of kids with nowhere to go over the christmas break when hes not hanging out with the school cook davine joy randolph matching her marvelous performance in dolemite is my name hes spending time with the most troubled of the students dominic sessa an actual new england prep school student making a remarkable film debut full of humor and pathos this is one of those unassuming treats that overpowers the viewer with its enormous humanist bent 3 all of us strangers andrew haigh no movie from 2022 emotionally wiped me out as much as charlotte wells aftersun and no movie from 2023 emotionally wiped me out as much as andrew haighs all of us strangers paul mescal proves to be the connective tissue delivering a performance in aftersun that earned him a best actor oscar nomination hes in support here the star is sherlock and fleabag regular andrew scott in a performance that should have earned him but didnt a best actor oscar nomination scott offers a wonderfully nuanced turn as a gay writer who sees dead people  namely the parents jamie bell and claire foy who died in a car crash when he was a child his time with his folks is intercut with time spent with his equally lonely neighbor mescal but its not long before the two worlds converge rich in meaning and metaphor and open to various interpretations this is a rueful and haunting study about letting people in and letting people go 4 oppenheimer christopher nolan it was quite gratifying to see that both halves of the barbenheimer phenomenon lived up to the hype with the approving frenzy so earpiercingly loud that it probably belonged in an imax production directed by christopher nolan while barbie offers sunshine and rainbow colors to go with its satiric and social themes oppenheimer understandably hangs under a mushroom cloud of darkly troubling sociopolitical issues cillian murphy is excellent as j robert oppenheimer the physicist whose work on the manhattan project led to the creation of the atom bomb  as for the allstar cast surrounding him emily blunt robert downey jr etc nolan hasnt merely collected alisters as if they were baseball cards but instead employs their characters to help round out oppenheimers story in the process lending greater import and understanding to the thorny proceedings 5 are you there god its me margaret kelly fremon craig based on judy blumes landmark novel this focuses on 11yearold margaret simon abby ryder fortson and the circumstances that arise when her mom a phenomenal rachel mcadams and dad benny safdie decide to relocate from nyc to a new jersey suburb with the full backing of blume writerdirector kelly fremon craig the edge of seventeen has fashioned a splendid comingofage film thats both sensitive and perceptive  it steers clear of condescension meanspiritedness and glib humor in order to truly understand the tribulations of not just margaret but also her friends and family this unfortunately proved to be a commercial underachiever  given what was dominating the box office at the time perhaps they should have renamed it are you there mario its me luigi 6 american fiction cord jefferson a formidable actor who has lent his support to everyone from james bond to katniss everdeen jeffrey wright finally lands the leading role of his career in this black comedy about black literature wright delivers a beautiful slowburn performance as thelonious monk ellison an academic author whose novels are rejected for not being black enough after another scribe issa rae hits it big with a book called wes lives in da ghetto a frustrated monk writes a deliberately pandering novel in the guise of a fictional former convict stagg r leigh from the similarly titled blues folk song and then is flabbergasted when its a success few films from 2023 can match this one for sizable belly laughs but the guffaws never obfuscate the issues at hand particularly the reductiveness and stereotyping of the black experience in america 7 barbie greta gerwig whats left to say about this cultural tsunami a zeitgeist rattler so potent that even the usual armies of mras couldnt disturb one strand of hair on its perfectly coifed head not that they didnt try see the fox news rants as well as all those down votes on imdb writerdirector greta gerwig and coscripter noah baumbach have created a colorful confection that benefits from the inspired casting of margot robbie and ryan gosling as barbie and just ken the laughs are plentiful  some of the years biggest nyuks can be found in its digs at film school grads justice league fanboys and matchbox twenty  but what makes barbie truly work is its deft tackling of themes like existential crises toxic masculinity feminist selfworth overarching capitalism and the dangers of both the patriarchy and the matriarchy the latter a key point conveniently ignored by the whiny detractors 8 the taste of things trần anh hùng i certainly didnt expect a porn flick to land on this list yet here we are to clarify i mean food porn like babettes feast eat drink man woman and others this is the sort of film where one can get aroused not only by the mouthwatering shots of delectable cuisine but also by the filmmakers ability to allow the gastronomy and the philosophy to commingle think of it as the art of the meal titled la passion de dodin bouffant in its french homeland this lovely effort from frenchvietnamese director trần anh hùng centers on a 19thcentury gourmet benoît magimel and the woman juliette binoche who has served as his cook and lover for 20 years i suppose the central romances in fallen leaves and past lives might hold slightly more urgency and currency but those films didnt offer costarring roles to a volauvent and a baked alaska 9 the teachers lounge ilker çatak movies have long employed the high school to serve as a microcosm of an ailing society at large and this german import can proudly and profoundly be added to the ledger that also includes the likes of election brick and the underrated teachers a middle school harbors a thief from within and the teachers automatically assume a student is the culprit but when an idealistic teacher leonie benesch arrives at a different conclusion and reports her findings all hell breaks loose as tense as any thriller this slowly and masterfully introduces a host of realworld problems into its storyline including the tendency of people to offer opinions without all the facts the employment of social media to distort and distract and the blurring of lines between ostensible heroes and villains the nonending is a letdown but everything else merits a circled red a 10 saltburn emerald fennell certainly it doesnt feel like this divisive effort from writerdirector emerald fennell whose promising young woman was my pick for the best film of 2020 go here should be placed above some of the heavy hitters cited on my honorable mentions list below and those folks who groused about this largely being a ripoff of the talented mr ripley werent entirely incorrect yet theres something to be said about movies that take root in the minds eye and refuse to leave and this one has lingered more than many on this list this story about a young man barry keoghan worming his way into an aristocratic familys everyday existence is occasionally predictable but the daring nature of fennells approach the spectacular visual palate and keoghans lettingitallhangout literally performance are anything but pat its gothic stateliness by way of goth subculture  enter at your own risk 2023 movie im most sorry to have seen the killer i was initially going to go with the exorcist believer but since it was from the writer of halloween ends and firestarter it probably never stood a chance of being watchable to anyone but the easily startled the killer on the other hand hails from david fincher whos made a few fine movies seven the social network over the decades this dismal dud isnt one of them it plays like a john wick flick for people who think theyre too good for a john wick flick and the problem with michael fassbenders borderline incompetent assassin isnt that hes unappealing but that hes a boring zero 2023 movie im least sorry to have missed rebel moon part one  a child of fire since it was made by a pair of qanon nutjobs i was initially going to go with sound of freedom but why give them even the time of day rebel moon on the other hand hails from zack snyder who actually directed a pair of decent movies dawn of the dead watchmen decades ago but has been flailing since so if even the fanboys who worshipped the silly sucker punch the miserable man of steel and that excruciating 15hour cut of justice league are turning their noses up at this one then it must be a real stinker for now i guess rebel moon part two  the scargiver has dibs on 2024 movie im least sorry to have missed none of the reviews of anatomy of a fall mention the extraordinary performance of the young actor who plays daniel the son of sandra hillers character what is his name
Mar 12 2024,positive,a surprisingly emotional melodrama bolsters what may stand as the most enjoyable godzilla movie ever made in yamazakis call back to the nuclear creatures origins 
Feb 6 2024,positive, next month hollywoods latest godzilla movie will hit theaters titled godzilla x kong the new empire it will join warner bros monsterverse a glitzy american spin on a formula that toho pictures began in 1954 with the original godzilla the film features a fearsome monster doing battle with king kong and other beasts while an allstar cast looks on in horror but although hollywoods approach to translating the monster has relied on pure silly spectacleunderstandable for a series about a nuclear lizard beast smashing citiesjapan has of late found new and original angles on its kaiju hero the newest godzilla minus one was good enough to draw a surprising amount of attention in the us a signal that domestic audiences are open to highconcept spins on familiar characters made to celebrate the franchises 70th anniversary godzilla minus one is the creation of the japanese auteur takashi yamazaki a visualeffects innovator with a long run of success in his country the original godzilla tapped into japans anxieties about nuclear fallout after hiroshima and nagasaki godzilla minus one takes place from 1945 to 1947 in the immediate aftermath of japans surrender despair and loss pervade the film the protagonist is kōichi shikishima played by ryunosuke kamiki a pilot struggling with survivors guilt from making it through both the war and an attack from a notyetfullygrown godzilla who destroyed a military base where he was stationed kōichi is haunted by his cowardice in the face of the monster and by the wartime devastation of tokyo which has left him without a home or family he takes up with a woman named noriko minami hamabe and a child named akiko sae nagataniboth also orphaned by the warand becomes a minesweeper trawling the sea for unexploded ordinance with other disaffected veterans into this uneasy present wanders godzilla now gigantic and mutated by nuclear testing over his 70 years of stardom godzilla has been variously depicted as a rampaging destructive force in the early films an evolutionary system keeping the world in balance and an avenging angel doing battle with even worse monsters his films broken into different eras with loose continuity range from horrifying to goofily camp but his portrayal in godzilla minus one might be the most terrifying ive ever seen onscreenhes not just shambling through buildings and stomping on cars hes wrecking city blocks with singular purpose his atomic breath a mainstay of the series since the beginning is represented by yamazaki as a pulverizing nuclear blast that creates new mushroom clouds on the horizon its scary ive seen plenty of godzilla movies and enjoyed most of them but the title character has rarely been so frightening to behold of the american attempts gareth edwardss 2014 godzilla came closest by emphasizing the scale of the creature shrouding him in darkness and doling out his terrible roar with admirable restraint though i like that film the humans in it are either boring or plainly risible a problem in many a godzillawhile the monster spectacle may draw in viewers godzilla himself takes up only a slim chunk of a run time largely devoted to people running around in awe and horror that is why godzilla minus one is a great film rather than merely an impressive feat of monstrous visual effects although those were justly oscarnominated last month the first time a japanese film has received a nod in that category kōichi is not just a cipher who exists to move the narrative along his personal guilt and sense of hopelessness about japans future are successfully entwined with the wider destruction being wrought by the monster kōichis crew of misfit survivors on the minesweeper ship portrayed by a charming bunch of veteran japanese character actors are all clinging to vague hope as they look for a way to stop godzilla yamazaki has said that he saw modern parallels in his story too particularly in the national sense of confusion and futility during the early months of covid whether you focus on the historical analogy or the contemporary one the point of godzilla minus one is the same triumphing over the monster is less about destroying him and more about finding the will to live after a great cataclysm these are deeply affecting emotional stakes and they help the film stand as an impressive counter to the previous godzilla film released by toho pictures hideki anno and shinji higuchis brilliant shin godzilla which was a baldfaced satire of modern governmental incompetence in the face of a kaiju attack viewed back to back the films reveal how impressively versatile the series can still be they also make hollywoods endless slapfest between godzilla and king kong or a slew of other anonymous monsters feel even more juvenile godzilla minus one was warmly received in japan and its american reception has been especially surprising on top of the oscar nomination the film has grossed 56 million in the us by far the most for a japanese godzilla moviein comparison shin godzilla made just under 2 millionand the thirdmost of any foreign film in history its theatrical run concluded last week with a terrific blackandwhite version that further emphasized yamazakis despairing tone godzilla x kong will storm into theaters next month and should stir up plenty of ticket sales on its own but as audiences understand how artfully made and visually arresting these movies can be they may lose interest in the corny american knockoffs
Jan 25 2024,positive, post war japan is at its lowest point when a new crisis emerges in the form of a giant monster baptized in the horrific power of the atomic bomb when godzilla first destroyed tokyo in 1954 he was a metaphor for japans recent atomic terrors despite many outings since rarely has he been as terrifying until now godzilla minus one refreshes this original tale and crucially remembers that it should be a horror movie despite this japanese productions small budget by hollywood standards at least writerdirector takashi yamazaki shows off the scaly beasts carnage as inventively as possible even when godzilla isnt on screen tension still builds fans of jaws may recognise certain tricks the human cast is excellent too led by ryunosuke kamiki as kamikaze pilot koichi shikishima stumbling into a godzilla attack at the start of the film his cowardice costs lives so when the creature stirs again a few years later shikishima has a chance to redeem himself and save his new family but can he face his greatest fear a tough call as this godzilla is an elemental uncaring force a manifestation of japans darkest psychology just as he should be
Jan 25 2024,positive,but the horror or evil in godzilla minus one isnt limited to the big gs rampages indeed takashi yamazakis monster is a secondary source of trauma and the attendant destruction is dwarfed by the war which immediately preceded his attacks 
Jan 22 2024,positive, if you enjoy adventure films with a combination of intense action and dramatic flair godzilla minus one might be the movie for you directed by japanese filmmaker takashi yamazaki the film offers a visceral and fastpaced fantasy with striking visuals and a strong sense of conviction yamazaki employs blockbuster tactics to depict multiple dangerous situations with a radioactive godzilla wreaking havoc on a postwar japan  the story revolves around koichi shikishima ryunosuke kamiki a former kamikaze pilot turned deserter and seamine extractor his lack of courage brings shame to many of his fellow countrymen however when he encounters noriko oishi and her rescued orphan baby he discovers a new purpose in life as godzilla heads to tokyo koichi sees an opportunity to redeem himself and prove his bravery and piloting skills the film explores strong antipatriotic sentiments associated with the loss of war mixed with a sense of unity among a group of civilians led by former naval weapons engineer and strategist kenji noda hidetaka yoshioka despite some plot holes and sentimental moments yamazaki enhances the film with stylized visuals wellcomposed frames and knockout sequences that blend ferocity with desolation the director bends the rules of the genre by providing reinforced visual effects and relying on an intense musical score while godzillas new roar is a result of a simple amplification of the original the overall experience feels fresh and new
