Dates,Scores,Reviews
Sep 24 2023,positive, even though i saw this movie three days after it opened i felt like it might as well have been three weeks after its release last summer there were four superhero movies and i saw every one of them on their opening day first show of the day unfortunately this just wasnt possible with the avengers but considering that it made over 200 million in three days i dont think marvel really noticed my missing 10 also with all the money it made i dont really feel like i need to go over the whole plot for you guys because it feels like everyone has already seen it instead just like i did with iron man 2 its going to be much easier to just go over how well i think each characteractor did in this movie and thatll also be a lot more fun for me before i do i suppose i can just briefly say that loki as made famous in thor also made famous by just being thors brother uses the tesseract which all comic book fans should recognize as the cosmic cube to teleport an intergalactic army to destroy the world in retaliation iron man thor captain america the hulk hawkeye and black widow are called together to fight the impending galactic war brief enough now i get to talk about everybody maybe its rdjs public personality that gets me kind of annoyed with him and the fact that he is kind of full of himself but considering his financial and critical success has warranted him being a tad bragadocious i was also nervous that the whole movie would focus on him considering hes already got two iron man movies under his belt and i always associate captain america as the leading avenger even though i had these reservations i was glad to see that tony stark didnt have much more screen time than anyone else and considering he didnt have to burden the weight of the whole film on his shoulders he was able to be a more comical tony stark than wed already seen lots of oneliners jabs at other characters and an overall tendency to downplay the seriousness of a situation steve rogers even called him out on the fact that he was selfcentered and narcissistic which made me nervous that thered be a scene where steve rogers would have to say some you really are a hero bullshit but we were spared even though iron man was a key part of defeating the aliens nobody made a big deal out of it which really fits in with the tony stark i know that despite no matter how many successes he might have hes still kind of an egotistical prick and nobody wants to pay him any compliments i love captain america call me oldfashioned for loving america and ill call you a goddamned communist what i love about his character is that he always knows what is right and does everything in his power to stand up for it whether it was in the civil war storyline where he had to allow himself to be arrested or sacrificing himself at the end of captain america the first avenger he knows what to do and doesnt hesitate one scene in particular near the end of the film despite not being the most powerful member of the team he told everyone exactly what to do and exactly when to do it and everyone fell into rank they knew that this guy had fought evil incarnate in world war ii and trust him with everything whether he was breaking up a fight between thor and iron man or jumping across the helicarrier to literally smack a grenade out of the air to protect stark cap really proved that hes more than just a science experiment i also stand by my opinion that chris evans is handsome enough and funny enough to put him into any superhero outfit and do a great job remember how i mentioned that the thor movie really only served as a stepping stone to build up to the avengers boy howdy was i right even though thor wasnt the best superhero movie last summer it introduced you to a regal character who lives in a world completely removed from and much more vast than anything us humans on earth could even wrap our heads around he proves himself not only wise in the way he tries to handle loki and his desire to merely take him back to asgard but also showed how powerful and essentially godlike when he knocks hulk on his ass with one punch or summons lightning to vaporize and shit ton of aliens id say that in films just like in the comics thor works much better as a supporting cast member than as a the major player he could basically solve everything problem with a giant hammer and some lightning you might have found loki to be a quivering whining prick in thor so imagine how big of a douchebag he got after floating around the universe with nothing but the thought of vengeance in mind they were able to play up the god of mischief aspect much more in this movie as we saw how easy it was for him to manipulate humans rather than in thor and he was just playing tricks on his brother we were able to see how cowardly he was and knew he wasnt nearly as powerful as any one of the avengers and had to call on someone elses army to fight for him he strategically manipulated every character to feed off of one anothers insecurities and even though he wasnt physically some sort of powerhouse you could see how annoying he could be to deal with hiddleston was also showing some vulnerability as an adopted son who never received the love of his father and even though you knew he was the villain had a tiny bit of sympathy for his situation this was the part of the movie i was most worried about considering that after two movies based on hulk theres yet to be a successful incarnation of him on film the thing about this character that people want to see most is actually whats easiest to put on the big screen which is a big green monster destroying everything the more interesting parts of the character are figuring out how he deals with this timebomb thats inside of him and the effect it had on his psychological state luckily through the nature of this being an ensemble film dr banner was only used in small doses mostly to show off his level of intelligence there were a few scenes between dr banner and tony stark that were really fun to watch because they both felt like they had found an intellectual peer and playmate when dr banner left and hulk showed up obviously it was fucking awesome he smashed everything i went get into everything he smashed but the smashing scenes were fun i also kept doing doubletakes when a character said banner because i thought our dog might be in the theater i made a pretty bold claim with iron man 2 which was that scarlett johansson was a good choice to play black widow and that she was one of the best parts of that movie but most people thought i was just distracted by her tits i suppose there might be a little truth to that but just because she was good in this role doesnt mean i think shes a good actress in fact i think shes not a good actress and every other movie ive seen her in she just seems distant and emotionally apathetic to everything going on around her luckily while portraying a russian assassin and spy having an outward appearance of not giving a shit about anything or being emotionally involved in anything going on things work out pretty well granted in this movie she had a few moments that seemed a little too superhuman and farfetched in regards to her abilities but it was really only one sequence so i can forgive her mostly because of well you know boobs having only really appeared as a silhouette in thor and having no other film appearances hawkeye was obviously going to be a tough sell as an avenger rather than try to give him a long backstory we instead spend most of the film seeing barton as a villain who is having his mind controlled by loki one reason i really liked them doing this was that it removed the need for a backstory because all you saw was hawkeye being a badass with a bow and arrow and showing of a multitude of different trick arrows another reason i liked this was because in the marvel universe hawkeye was introduced as a villain he might have only been a villain for three issues before joining the avengers but still its something thats constantly referenced in the books and i think that using him as a villain for the first half of the movie not only showed you his abilities but also made you enjoy the heroic things he was doing that much more two things i didnt like however was the fact that the mind control he was under was undone by black widow just punching him a whole bunch and i figured lokis spells would be a little more powerful i also think that hawkeye should have been played by alan alda but i guess jeremy renner was an acceptable substitute although i thought his cameo in iron man was pretty cool the other times this incarnation of nick fury havent been as faithful to the character as i had liked granted that basically means i didnt really care for his scenes in iron man 2 but samuel l jackson is a character on his own he has a reputation of coming across like a badass but also being really funny talented and can deliver these badass lines or insults while adding a smirk to the end of them to let you know hes just fucking with you the nick fury i wanted to see wasnt a jokester or anything other than a grizzled war veteran who has gone to hell and back to ensure the safety of the country he so loves to defend its almost like he has the heart of captain america but with the skills of black widow well maybe not the bazongas of black widow but the covert spy stuff lucky for me they toned down furys interactions with the team so you knew he was the one in charge and wasnt taking shit from anybody there was also a scene that involved him motivating the team by showing them something taken out of a dead agents coat but once the team leaves another character pointed out that they werent actually in his coat but in the agents locker this showed that fury was willing to do anything and everything to get the reaction from people that he knew had to be sparked in them even if that meant lying to them his role in this film definitely made up for the doubts i had going into it someone who was introduced a few years ago to plant the seed of what shield was and where all these marvel movies were going agent coulson has become a loved character to many fans even though he is typically only in marvel movies delivering half a dozen lines those lines are welltimed with great delivery by gregg even giving robert downey jr a run for his money in a few scenes we got that sense from coulson again in avengers and adding in the obsession that a shield agent would clearly have for captain america the fanboy moments between coulson and steve rogers were really charming and endearing and congratulations to mr gregg for having the character take a permanent seat in the marvel universe in not just films but being introduced into the comics as well if theres one show i hate hearing people tell me is funny its the big bang theory if theres two shows that i hate hearing people tell me is funny its the big bang theory and how i met you mother knowing that smulders was on that show i figured the only reason she landed the role was to get audiences of that show interested lucky for me i was wrong dead wrong well not dead wrong but i wanted to say that maria hill is a tough character because she is essentially nick furys righthand man but considering she is younger and a female the relationship could easily fall into a stereotype this is typically avoided and i always viewed the nick furymaria hill relationship to be a lot like the yodaluke skywalker relationship in the empire strikes back we know that the apprentice can clearly handle their shit but they still also have a lot to learn we saw maria hill questioning fury on his actions even doubting his choices but knew her rank and never opposed his views clearly knowing that he was the director of shield for a reason she handled what she needed to handle and stepped up when necessary letting the audience know that shes be okay in the event that fury was ever compromised and she would have to take the reins in  short everyone did a good job in varying degrees wow i could have just said that instead of typing up all those other things i knew this movie was going to be good everyone knew this movie was going to be good in fact id even say this movie was a great superhero movie as far as things i didnt like id say there were only two issues maybe only one and a halfand theyre only issues let me clarify i had zero problems with this movie one issue was that i was disappointed that nobody ever shouted avengers assemble but considering this was their very first gathering i could understand that not showing up naturally i guess i hoped that in the epilogue after all of the action fury would have mentioned assembling in some way i know that any lines of dialogue i could come up with right now would be cheesy but joss whedon is a much better writer than i am and i guess i hoped he had found a natural way to slip that in the other issue was that even though this was a great superhero movie it was just thata great superhero movie this movie wont win any oscars any acting or directing awards or be recognized with any other outstanding achievements this movie is by no means a bad movie not by a long shot it was a witty smart actionpacked fistpumping stand up in your seat and highfive your friends fun movie after seeing the trailer for prometheus and the dark knight rises it was hard to thing of the avengers as being any sort of gamechanger in the superhero genre im also not saying that this movie needed to change the way we view superhero movies it just felt very safe safe isnt bad safe is good thats why people where helmets and seatbelts for some reason which i cant quite put my finger on i kept having flashbacks to when i first saw independence day maybe it was because it was just a big fun summer movie or the fact that there were alien invaders or the fact that you knew the good guys would win i had the same excited feelings for the avengers as i had almost twenty years ago with will smith whether youre a comic book fan or not you will have fun with this movie and even though we spent close to two and a half hours watching this movie this only felt like the beginning i was totally willing to watch these characters interacting with another for two and a half more hours just to see what kind of trouble theyd get into oh yeah and i think i predicted a few years ago how closely this movie would mirror the events of the ultimates comic book series and i am glad to know i was right what the fuck are these chitauri aliens just call them goddamned skrulls and be done with it i think you were right in saying that the movie was good but it was still a superhero movie i had the same trailers before it and truly in comparison the avengers is exactly what it is and nothing more a superhero movie a very safe one at that im not one for reading comics but is it really possible to create a superhero movie that would shake things up that much i also managed to snag a copy of that poster you used above it wont get the prime wall spot but i can still say i watched the avengers assemble for 5 years i was just trying to give people what they want i think everyone knew going into this that plot wasnt going to be what people were going for they were just excited to take those few moments theyve seen in previous movies where tony stark talks to thunderbolt ross or agent coulson finds thors hammer and stretch that into lots of fun interactions  as far as shaking things up id definitely say that the dark knight totally shook the status quo of what could be accomplished through the use of characters created in comic books although the avengers is a great superhero movie i think the dark knight is just a great movie regardless of genre or source material i was sitting in a diner while those posters went onsale and had to use my mobile to try and get a copyand failed you jerk the only marvel poster i have that mondo released were the olly moss captain america set and the tyler stout captain america which i only got because i won a lottery he held im jealous yah i usually work all day so it is rare i get one i literally missed the earlier marvel posters by 5 minutes i managed to get a cabin in the woods one as well its funny i almost told you my tips for trying to snag these prints then realized that if you buy one i cant the cabin in the woods came out at the same time as the exorcist one did and i got exorcist in my cart but when i got greedy trying for cabin in the woods they both sold out my life sucks
Jan 7 2023,positive, unlike the xmen which arrived full formed in 2000 the avengers is the comic book version of the supergroup with stars in their own right coming together not without some friction and egothumping for a battle royale so marvel put together a long term plan launching their stars in a series of solo films and building an entire universe of heroes and villains for the screen they teased audiences with brief crossovers and then after years of setting it all up brought together the team robert downeys cheeky cocky iron man chris hemsworths warrior prince thor chris evans earnest captain america and mark ruffalo taking over as bruce banner and the hulk the third actor in as many films giving the character a haunted embittered edge to round out the team the film expands the role of black widow scarlett johansson a slinky superagent from the second iron man film and adds hawkeye jeremy renner an archer marksman briefly seen in thor  samuel jackson presides over it all as nick fury it could have been a disaster with so many characters to juggle and personalities to respect while engaging in a big noisy apocalyptic battle with no less than gods and aliens and it was a measured gamble to bring in joss whedon a man with wellearned fan credentials and an affinity for this kind of genre storytelling to write and direct no question that he brings smarts and style and selfaware wit to his productions buffy the vampire slayer on tv serenity on the big screen but his audiences have been shall we say small and passionate it was the perfect marriage of subject and sensibility you wouldnt accuse the avengers of being good drama but the sprawling splashy spectacle and its muchmuchmuchlargerthanlife heroes makes for a genuine comic book epic for the big screen whedon loves his characters and enjoys tossing them together to watch the sparks of colliding egos fly and he has a knack for keeping an eye on the stories and the characters in the mess of battle but mostly he embraces the elevated melodrama of the conceitthese superpowered beings are our answer to the greek gods and heroes and they were nothing if not unpredictable mercurial and vindictiveand then works his way back to the humanity under the costume and it doesnt hurt letting downey off the leash to rile up the gathered egos you get the sense that sure whedon is having a blast visualizing the scope of a comic book battle with the millions of dollars of cgi at his command but hes having even more fun setting these lone wolves loose to sniff around and bark at each other before warily settling into a pack dont miss a single recommendation subscribe to the stream on demand weekly newsletter your email address will not be shared and follow us on facebook and twitter the dvd and bluray editions from disney include commentary by joss whedon and the featurette assembling the ultimate team the bluray includes the more featurettes and deleted scenes plus the second screen experience which requires an ipad a downloadable app and a connection to the same wifi network as the bluray player and a bonus dvd copy and yes there is a bluray 3d edition a 4disc combo pack that also includes all of the above so youve got a standard bluray and dvd for non3d showings plus a digital copy and a digital download of the inspired by album sean axmaker is a seattle film critic and writer he writes the weekly newspaper column stream on demand and the companion website and his work appears at rogerebertcom turner classic movies online the film noir foundation and parallax view
Nov 20 2022,positive, developed in 1963 as marvels answer to dcs superhero team justice league featuring superman batman wonder woman green lantern flash et al the avengers supplies a comic tradition where numerous superheroes join forces against a common or superior enemy but not without facing off against each other first naturally superheroes have bold personalities theyre champions of their particular realmwhy shouldnt they swell with pride about it but when assembled such personalities clash and infighting occurs and our favorite heroes must inevitably learn to work as a team before they can tackle the colossal threat that brought them together another comic tradition is the crossover where an overarching storyline unfurls in the pages of multiple issues and usually ends in a doublesized chromiumcovered megabook to conclude the storyline the avengers is the equivalent of this but not without planting the seeds for future sequels and spinoffs marvel studios started something wholly unprecedented in 2008 by laying the groundwork for this film in iron man the incredible hulk iron man 2 thor and captain america the first avenger each individual entry contains tidbits pointing toward this larger film and by maintaining a handson approach to their productions they ensure each entry is strong enough as a standalone feature but also a key component in a larger whole as a result there comes an expectation that the avengers being a culmination of several successful blockbusters should be nothing short of epic it should appeal to both fanboys and those unfamiliar with comics broadening the storylines established by the preceding films it should give each character their due and yet not allow a single star to shine too brightly it should be bigger louder smarter more expensive and ultimately more entertaining than the other films so does it succeed hell yes with these requirements in mind marvel hired writerdirector joss whedon to helm the avengers hes a former comic author in the pages of xmen hes garnered a cult following for his tv show buffy the vampire slayer he directed one modestly successful film with serenity an offshoot of his show firefly and hes also a resounding comic nerd and generally adored among fanboys as such he appreciates the material enough to know what comic fans expect from a film like this because its what he would expect more importantly he understands how to make the material universal adapting it in such a way that general audiences will be able to identify with the central characters without the need to know their offscreen backstory whats more working with a reported budget of 220 million whedon has resolved to put every dollar toward wowing his audience with the most satisfying event movie to come out of hollywood in recent memory working from an initial draft by zak penn xmen the last stand whedons script picks up where 2011s thor and captain america left off banished asgardian mischiefmaker loki tom hiddleston forms an alliance with an alien race called the chitauri lizard things with biomechanical armor promising them the tesseract an energy cube of unlimited power if they lay waste to earth so he may rule loki steals the macguffin from its current holders nick fury samuel l jackson and his superspy agency shield and hides it while the chitauri plan their attack at the same time fury relocates to his new hqa massive cloaked flying aircraft carrier a spectacular effectand plans for the worst to find the tesseract and stop loki his agency brings together a proposed team of heroes the avengers when the personalities gather the films first half explores their squabbling and clash of egos until finally they band together for an exhausting second half in the battle against loki and his alien army whedons storytelling is at its best as he balances screen time amid earths mightiest heroes portrayed by some very fine actors topbilled and center stage robert downey jrs tony stark dons his iron man armor carting his genius behind his snarky motormouth and signature narcissism another classic egocentric thor chris hemsworth travels from asgard to confront his adopted brother loki spouting shakespearian brogue along the way mark ruffalo who replaces edward norton as bruce banner brings a softspoken nerviness and impressive nuance to his character his alterego the hulk was performed through motion capture and looks like ruffalo the effect is entirely convincing and occasionally brilliant displaced in an era not his own steve rogers aka captain america chris evans brings a naïve but necessary idealism to the team to help unite them reprising her iron man 2 role scarlett johansson represents the sole female member of the group as the former assassin black widow but whedon has gone to great lengths to make her stand out arguably more than any other the newest member seen briefly in thor is a bowandarrow sharpshooter named hawkeye jeremy renner who seems somewhat underdeveloped next to the others save for the resident captain each character could be described as does not play well with others obvious attention is placed on marvels most successful hero and franchise fanfavorite iron man but this is hardly a solo effort granted the films climax takes place on manhattan streets surrounding the newly erected stark tower but starks dramatic arc feels less significant than those of banner or black widow in the incredible hulk banner still struggled to control his green rages but in the exciting finale his counterpart becomes relatively selfawarehe becomes a hero instead of a monster seeing this side of hulk may be more consumable for audiences who can finally root for a character able to differentiate between good guys and bad guys ruffalo an actor normally associated with indie dramas admittedly outdoes norton and eric bana before him when his character blossomsenough for audiences to clamor for another solo hulk feature with ruffalo as the star likewise haunted we learn much more about johanssons black widow and her bloodsoaked past her best scene is not only a filmbest but provides the films most impressive acting she interrogates loki who responds with jawdroppingly violent and cruel threats snarled with precision by hiddleston the look of terror on johanssons face is undeniable and then punctuated with a wonderful turnaround with any comic book film there are always mildtogreat disappointments in how the filmmakers have adapted characters from the page to the screen some are merely nitpicking on the part of fanboys others are noticeable by anyone for example anyone could tell too many villains clogged up spiderman 3 whereas no one outside of a comic book shop cared how galactus was rendered into a cloudthing in fantastic four 2 here fanboys can delight in how much whedon gets right but in addition to not exploring hawkeye enough whedons choice to provide our heroes with a high body count via anonymous chitauri aliens obscure marvel characters to be sure is questionable granted his story infuses elements of the avengers issue 1 from 1963 in which loki manipulates hulk into a frenzy and in turn unites the avengers but in the last half whedons focus remains on loki orchestrating a war of chitauri pawns of course this decision makes an effective storytelling device by allowing the avengers first assembly to be about an ideal gathering of heroes more than the disposable villains still the comic nerd in me wanted a more recognizable crowd of baddies for our heroes to clobber fortunately the chitauris presence leads to a postendtitles scene that will leave fans giddy however negligible a disappointment whedons choice of alien race may be he makes up for it in his arrangement of stunning battle sequences superhero smackdowns and most importantly a riotous sense of humor early on iron man and thor go headtohead followed by the two powerhouse characters thor and hulk throwing each other around their conflict comes up again later on unexpectedly abruptly and hilariously likewise starks quickwitted zingers and caps dislocation in another century furnish no end of laughs in whedons usual brand of smart punchy dialogue these conflicts and joking moments are mostly for comic effect but they also illustrate how noncohesive these characters seem when placed next to one another and how they require wrangling to become a team shield agent coulson clark gregg a niceguy character present in this ongoing franchise since iron man serves as superhero glue in a subplot both funny and tender hes starstruck by captain america and wants only f0r the captain to sign his vintage superhero trading card set as whedon injects copious amounts of humor into the proceedings he plays with his characters dynamic and personal limitations in a selfaware style but without risking the integrity of the characters themselves rather he enhances them when its all over only one question remains how will audiences react to solo stories for characters like iron man thor captain america and the hulk in the future a film as grandiose as the avengers threatens to dwarf anything placed next to it wont next years iron man 3 and thor 2 seem underwhelming in comparison could marvel have unwittingly undone their smaller franchises by making too good a film here my hope is that as long as marvel continues to distribute the kinds of quality superhero films weve come to expect since iron man faithful audiences will return for the next building block not only in the individual stories but in anticipation of the inevitable sequel to this giantsized crossover marvel should take care and make the best films they can in the coming years as they risk turning the inbetween movies into nothing more than the next building block to the avengers 2 that said you wont likely find a more rousing purely entertaining popcornmunching blockbuster this summer no spectacle on par with this film has arrived in theaters since avatar and at a similarly long 142 minutes the film breezes by on these levels and a plane of sheer superhero movie joy the avengers delivers in every respect its not a flawless film what film is but its modest flaws mostly the quibbles of comic book aficionados are washed away by its incomparable height of showmanship that has yet to be matched in this genre while christopher nolans batman films elevated the superhero film by achieving an unparalleled dramatic and artistic timbre marvels decidedly more comicbooky endeavors find their pinnacle in the avengers just as it should the film outdoes what have now become its five prequels after four years worth of building piece by piece against mounting expectations marvel and whedon have managed to satisfy the majority of fan expectations and in some ways even exceeded them
Aug 19 2022,positive, marvel studios the avengers is the culmination of what may be the most ambitious project in film history for those movie fans who have been living in a cave for the past several years marvel has been releasing several individual superhero movies that have all set the table for this huge event film two iron man pictures captain america thor and the incredible hulk have all been linked together through brief reoccuring cameos and hidden aftercredits scenes that refer to something called the avengers initiative as any comic book geek could tell you thats a reference to the marvel superhero team that first debuted in comics in 1963 on the surface the idea for an avengers film thats directly tied into other individual superhero movies sounds great on the flip side even though the other films have been good there are still plenty of areas where the avengers could go off track well as a movie and comic book fan im happy to say that the avengers not only meets the challenges of its vision but its an action packed adrenaline rush that offers some of the most fun ive had at the theater this year to handle this rather large undertaking marvel placed the project in the hands of joss whedon whedon was a good choice mainly due to his variety of experience hes found success in television film and comic books and he uses his knowledge of each combined with disneys deep pockets to create a movie that would appeal to the fanboy and the casual moviegoer alike one thing that helps whedon is that the film doesnt require your traditional origin story while we do see the generation of the team we know all of the characters from the previous marvel movies so whedon is able to dive right into the story that being said dont mistake this for a deep engaging story that will challenge the audience but ill also say that anyone going into the avengers for that has already missed the point throughout the other marvel films particularly captain america we learned about a cosmic energy source known as the cosmic cube in the avengers sheild head honcho nick fury samuel l jackson has a team of scientists led by physicist dr erik selvig stellan skarsgard trying to harness the power of the cube now known as the tesseract but suddenly the cube activates and opens a portal allowing the evil loki tom hiddleston to entire the facility and steal it knowing the immense threat associated with the tesseract being in the wrong hands fury activates the avengers initiative but getting such a diverse group of superheroes to cooperate and coexist proves to be a lot harder than expected fury starts by contacting black widow scarlett johansson he sends her to india to find bruce banner mark ruffalo while sending agent coulson clark gregg to stark tower to speak to tony stark robert downey jr while the two are gone he approaches steve rogers chris evans and sends him on a mission to retrieve the tesseract upon hearing of lokis involvement the thunder god thor chris hemsworth also entires the mix as does the marksman and assassin known as hawkeye jeremy renner each of the heroes have their own baggage and their own personalities which often times clash to the point of dysfunction but their disagreements give us some of the movies cooler and often times funnier moments as you would expect the situation worsens and its up to the team to pull together or the world will be taken over starting with new york city its a pretty cutanddry story but it really works because whedon understand his characters and he knows what kind of movie hes trying to make his familiarity with the marvel comic book universe is clearly seen throughout the picture but nowhere more than in his treatment of the characters as a comic book fan i was really impressed with how they all felt right and its clear that the source material played a big role in shaping the onscreen versions but whedon never falls into the trap of taking things too seriously the movie is filled with laugh out loud funny moments that are cleverly used and they never feel cheap or forced they mix perfectly with the razorsharp dialogue and the jawdropping action sequences but the fantastic action and special effects shouldnt surprise anyone afterall the avengers is a superhero action picture and whedon knows it the action comes at a furious pace and i can see where some may view it as relentless personally i was completely wrapped up in it the movie sells the superhero action through some of the most spectacular visuals and editing that youll see i was blown away i cant write a review of the avengers without mentioning the incredible cast one of the reasons the marvel films and particularly the avengers works so well is because of the amazing casting everyone is invested in their character and not one single performer phones it in downey jr continues to be the perfect tony stark mainly due to his natural ability to use sarcasm and fire off funny quips without hesitation chris evans known more for his goofier roles  is also quite good as the serious and straightlaced captain america i also really liked mark ruffalo as bruce banner hes the third actor to take on the role and he nails it much like downey jr hemsworth is the perfect thor and he shares some of the films best scenes with hulk renner and johannson also handle their roles very well but i have to give special time to the wonderful tom hiddleston hes a remarkably diverse actor and he shows it here his loki is mysterious mischievous and evil and hiddleston slithers through his scenes stealing many of them there are also nice smaller performances from gregg gwyneth paltrow and cobie smulders that are just icing on the cake i can see where some people may not respond as positively as i did to the avengers the action is pretty much starttofinish and if youre not interested in the characters youll have a hard time embracing the story there are also a few shortcuts taken with the story for the sake of convenience that could have been done a little better for me i have a connection to these characters through all my years of comic book reading and this film exceeded my expectations but being a comic reader isnt a prerequisite for enjoying this movie if youve liked what marvel has put out leading to it youre going to love the avengers sure its a loud energetic summer popcorn flick but its also a really good one its honest and it never tries to be something its not featuring one of the better ensemble casts and some topnotch directing from joss whedon the avengers is a big budget blockbuster that actually deserves all the money its going to rake it whens the next showing im ready to see it again yeah i didnt respond to it as warmly as you have but that is most likely due to having never read a comic in my life  on the other hand i also agree that youve got a great cast an undeniably iconic bunch of characters and some impressive action so whats not to like  a lot of fun but just not a five star film to me i dont give many 5 star ratings and i tried finding reasons not to give this one 5 stars but i just couldnt i simple had too much fun i was also incredibly impressed with whedons ability to bring the other tiein films to such a climax which is what the avengers is great review keith i just finished writing mine as well itll be up tomorrow i agree w your assessment its definitely a fun movie and one thatd be fun to watch over and over again thanks a bunch ruth im anxious to read your take on the movie i dont give many 5 star ratings but this film really worked for me when considering it for exactly what it is im having to wait until the weekend hoping to check it out either friday or saturday well worth a second viewing on the big screen decided to drop the movie down to a 4 12 star film its not that i came up with a substantial reason or that a serious flaw or gaping hole came to mind but i began comparing it to the few other films i have given 5 stars to i asked myself  between the avengers and  which movie would i be more inclined to watch again first in almost every instant it was the other 5 star film i also considered that the avengers really does require the viewing of the other leadin films to get a grounded understanding of what the bigger picture is for me that worked extremely well i saw each leadin film and im a big comic book fan but how would it appeal to casual fans and how does it stand on its own i still stand by every word of my review and for me personally it was an amazing experience to see these characters come to life before my eyes and while what marvel was able to accomplish is nothing short of amazing im not sure if the avengers is what should be called a 5star alltime classic a great movie no doubt but maybe not a 5 star one the film is an action film not a thinking film but great film anyway had fun watching it the action however was too fast sometimes i couldnt catch up
Aug 14 2022,positive, the words never before seen unprecedented groundbreaking and revolutionary get thrown around a great deal in the movie business  everything wants to be on that cutting edge ahead of everyone else  few movies deliver on those adjectives  when that cabin door opens in 1939s the wizard of oz and everything sepia turns to color a new world is opened not just in the movie but with movies themselves  in 1995 when pixars toy story brought computers into animation that was a game changer another buzz label  just three years ago avatars technical achievements in performancecapture technology and 3d filmmaking raised the bar and was something dreamed of but never thought possible  i may be picking out too tall of a pedestal but theres an element of newly broken ground to the culmination that is the avengers from marvel studios and walt disney pictures where the avengers breaks historic ground is in longterm planning and scope  many films in many years have had several years of tedious planning put into them but not like this  plenty of film franchises have gone on to make connected sequels  the harry potter series was built for that but not like this  never before has a film attempted to merge this many individual entities  aside from classic horror showdowns like frankenstein meets the wolfman nothing of the sort in terms of uniting characters has ever been attempted at this scale  in my lifetime the closest ive ever seen to a character being in more than one project was michael keatons cocky federal agent ray nicolette appearing as a cameo in 1998s out of sight from steven soderbergh and as a supporting character in 1997s jackie brown from quentin tarantino  both films were based on elmore leonard novels but that doesnt mean jack foley george clooney and jackie brown pam grier were going to teamup and start a crime spree together down the road  what the avengers had in mind was bigger than that marvel studios gained control of their own properties instead of farming them off to the highest bidder ie spiderman is housed at sony and the xmen universe remains at 20th century fox  success allowed them to start bankrolling and selling their own movies without splitting with distributors like paramount and universal  that clout increased when walt disney purchased all of marvel entertainment movies comics and all on new years eve 2009  they became their own creative control  few franchises can say that through uncompromising planning and genius forethought marvel shrewdly enacted a master blueprint of developing five individual origin films 2008s iron man and the incredible hulk 2010s iron man 2 and last years thor and captain america the first avenger from four different directors that built off of one another were interconnected and culminated to the common goal of this massive teamup we are witnessing with the avengers   many studio chiefs just ask warner brothers with their dc comics library of superman batman and the like have dreamed this but none have tried it and none have succeeded until now  the avengers is exactly that a dream come true  no one thought it was possible but marvel stuck to their guns and the payoff monumentally delivers  in the avengers we learn very early on that the cosmic cube aka the terrasect a source of endless power wielded and recovered from captain america the first avenger will be the object of our villains affections  that villain is loki the excellent tom hiddleston the adopted brother of thor and brief former king of asgard and he demolishes an underground shield base to take it away from nick fury samuel l jackson with a full role instead of his usual cameos and company  he also gains mind control over terrasect specialist dr erik selvig stellan skarsgard from thor and shields sharpshooting archery assassin clint hawkeye barton jeremy renner  fearing the chitauri alien army that loki has behind him fury decides to reactivate his rumored avengers initiative as a response team to lokis global threat fury the trusty agent coulson clark gregg and natasha black widow rommanoff scarlett johansson begin to enlist and recuit the resurrected wwii hero captain america chris evans the reclusive gamma scientist bruce banner mark ruffalo taking over for and improving on edward norton and take a gamble working with iron man himself tony stark robert downey jr zinging the oneliners when the god of thunder thor chris hemsworth tracks loki to earth he too sees that shield and he have a common enemy and goal that being recovering their lost colleagues and terrasect  thus a team is formed but one with many kinks and differences which come to light and clash wonderfully as the avengers plays out while robert downey jr is the headliner each main character gets their time to shine in the center spotlight with not only wow moments of action bliss but also meaty characterdriven scenes  combined with extremely wellwritten laughoutloud humor from joss whedon the interactive experiences between these formerly separate personalities is outstanding  whedon as a fellow fanboy on the inside and popular comic book writer on the outside knew when and how to use and respect the epic moments that occur throughout the movie  with all of that said mark ruffalos hulk steals the show  he instigates the best shock awe and leapoutofyourchair spots out of everyone on the team with this nearly fiveyear sixmovie blueprint of building to the avengers completed it will be interesting to see where marvel studios goes with both avengers sequels and new individual adventures from these nowiconic characters  iron man 3 thor 2 and captain america 2 all have the green light  after this film i expect a renewed interest for more hulk that may lead to that character getting a muchdeserved sequel hopefully with ruffalo at the center  as with any marvel movie stay after for the credits for two extra scenes  one sets up the likely heavy on the horizon for the avengers 2 and the other is for pure geeky enjoyment  once again all of this scope in the avengers constitutes nothing short of a moviemaking miracle  go back a rewrite the definitions for unprecedented groundbreaking and those other buzz words from the opening the bar has officially been raised lesson 1 power corrupts simply put power corrupts especially if its a mythical cube that could be a source of limitless energy for an entire planet when something comes around looking stronger than you you respond by raising your level of strength  after that you want a show of strength to prove that youre still on top lesson 2 the motivation to join a team or a cause while nick fury and the people from shield talk a good talk about the threat of alien war each main character has their own reasons for being there staying there and fighting for this cause  motivation comes in many forms and many levels of strength  you will see that going on here lesson 3 stepping up when needed in order to get lesson 2 to happen for the motivation to work the decision must be made to commit and step up when it is necessary  the decisionmaking step follows the stimulus of motivation  again each one of the future avengers steps up in a different way lesson 4 working as a team once you get a team assembled and motivated they have to work together not against each other to succeed  on this team each bigtime player brings a different skill set of strengths and abilities that must be utilized properly and in the right moments in battle  kudos to captain america and his natural leadership ability
