Dates,Scores,Reviews
Apr 13 2024,positive,maybe nolans best cillian murphy worthy of his oscar as was robert downey jr who reminded us he wasted too many years in the marvel universe
Apr 13 2024,positive,effective enough as it is oppenheimer is serviceable but didnt really deserve the academy award for best picture above more creative and personal projects christopher nolan does bring life to this story but its overreliance on romanticisation and expositiondumping every minute can feel exhaustive at times the lack of visually communicative storytelling is only really uplifted by its complex and controversial subject matter
Apr 12 2024,positive,quite absorbing  brilliant acting kept your interest throughout cillian murphy gave great leading role of a man whos mind seemed elsewhere much of the time
Apr 11 2024,positive,a genius biopic with stunning visuals excellent camerawork and great acting foremost cillian murphy and robert downey jr
Apr 11 2024,negative,terrible film  a film about the most important weapon created in mankinds history  zero scenes of what it actually did to the part of the world and the people it was used on  instead we get three long drawn out hours focused on trying to convince us to sympathise with the sociopathic arrogant twit responsible
Apr 11 2024,positive,its impactful engaging and captivating yes its long but its three hours of entertainment the highlight for me besides the breathtaking cinematography and insane visual effects is the soundtrack christopher nolan always delivers a great soundtrack in his films and this one is no different one of the best movies ive ever seen
Apr 10 2024,neutral,this movie did not play out with a christopher nolan theme it played out as something between a badly edited ken burns documentary and a soap opera would not recommend
Apr 10 2024,positive,a good movie but this was hyped up alot the movie jumped around in different spaces of time far more than necessary to the point where it distracts you from the story this could have probably also shaved off some of the run time aswell     acting had some really good performances especially from murphy and damon whilst other supporting characters seemed bland and not fleshed out enough to leave a lasting impression when they pop up later in the movie     surprisingly i found the fx extremely hit and miss but i also think this came down to how hyped to movie was and the actual content matter so i raised the bar higher than it should have been for myself
Apr 10 2024,negative,just like the bomb it sucked and blew big time all the needless bouncing around and yakking and then when you think its going to settle into the story theres even more bouncing and yakking
Apr 10 2024,positive, 7810      love that rodrick heffley cameo i cheered this is the most ive actually paid attention to a film in a while i did it yay  this film is pretty great it is a little hard to follow but im also not science smart so  yeah that explosion scene  great also my head cannon is this is the prequel to godzilla minus one grade b
Apr 9 2024,positive,watched it with a friend and we didnt even noticed that 3h past id recommand this to everyone
Apr 9 2024,negative,how they managed to make an interesting topic dull i will never know
Apr 9 2024,negative,what a waste of time on what couldshould have been a great story  the writers decided to focus on the most boring aspects of his life with very little time spent on the actual development of his story  coupled with disjointed performances from otherwise fine actors this was a complete disappointment to me
Apr 9 2024,positive,a lot of nonsense sex scenes thats really doesnt help on anything to the movie
Apr 8 2024,positive,christopher nolan regresa a su filmografía de autor como memento y following
