Dates,Scores,Reviews
Apr 11 2024,positive,absolutely phenomenal could not give a higher recommendation to a modern animated film
Apr 11 2024,positive,a mastery of pacing and animation movie tuckles havy themes like batteling over ones mortality looking for happiness and forming meaningfull relationships big jack horner felt a bit over the top and not really necessery but this movie is forever great to rewatch too bad its the only really good movie dream works made in reacent days and it might just be only good sequeal they made i mean theres shrek but i didnt really enjoy it and havent watched it since so
Apr 10 2024,positive,this movie was entertaining for the kids and the adults alike the characters were interesting and the animation was beautiful
Apr 6 2024,positive,puss in boots the last wish is the decadelater sequel to a spinoff franchise and yet it is the best movie in the shrek franchise thats no small feat when it has to match up against shrek 2 everything about this movie pushes the boundaries on how we view animated family movies from a message about coming to terms with our own mortality to humor that doesnt talk down to its viewers with 3 different kinds of antagonists the movie is able to make sure none are too hot or too cold striking that balance of just right across the board even a character like perro who you would expect to be the annoying comedic relief is a fun side character who contributes to the themes and flow of the story this movie was an incredible surprise that ensures that puss will always be our favorite fearless hero
Apr 6 2024,positive,a very fun sequel that delivers unlike megamind 2 a fun colorful great story family film for all to enjoy
Apr 5 2024,positive,given the movies that directly followed this im convinced that dreamworks didnt make this
Apr 5 2024,positive,nooo way this movie sooo amazing
Apr 3 2024,positive,every time jack was on screen it bored me unfortunately the hype didnt go as what i thought this movie would of been the wolf character bc of puss in boots last life i really like but he is barley in this movie unfortunately this movie is disappointing but i enjoyed it when it came to the very beginning and the 3rd act but the second act is boring bc jack wants a wish just for him to be so powerful bad motivation 82
Apr 1 2024,positive,beauty of a movie with amazing character growth and the designs are so gorgerous i love the backgrouns and every little frame the frame drops in fights are so so so good we need more movies like this
Mar 31 2024,positive,honestly peak dream works that took a smaller character and made an absolutely amazing story line the characters were all enjoyable and the comedic relief wasnt an annoying side character who serves no purpose to the story he actually had a character and felt like an important part of the team
Mar 30 2024,positive,this was an amazing movie 100 better than the 1st one
Mar 30 2024,positive,a sequel to puss in boots being considered a cinematic masterpiece is a shocker and i absolutely agree everything from the incredible animation to the compelling story  and the amazing performance from the voice actors its a non stop ride of action emotion comedy and i cant stress enough how amazing this film is chefs kiss and i hope this is the direction dreamworks goes for shrek 5
Mar 29 2024,positive,this film is fantastic in every way the animation is beautiful the comedy is spectacular and the movie is scary funny sad and exciting at the same time    all the characters are so fun and unique everyone is giving it their all and it is incredible    there are a lot of cameos from other character out of the shrek franchise that are very fun to see on the big screen again    there are great surprises sprinkled throughout that will excite and entertain you    last but not least this film has a surprising amount of dark moments and a wolf character that will maybe scare you    overall the movie is awesome     if you want a movie for the whole family to watch and enjoy in the theater then this one is perfect
Mar 28 2024,positive,puss in boots returns for a sequel with the hugest bang possible with a whole new animation design that resembles closely to spiderverse  tmnt the last wish made every fan rejoiced with its sense of humour and amazing choreography matching to none the film succeeded in doing something what dreamworks is known for targeting at mature audiences with topics as death depression etc it really is a dreamworks writing through and through the films major bonus point is the addition of most beloved fairy tale characters and showing their darker and gritty sides which really puts a new perspective in the minds of people who have grown up watching such titles the story explores the last life of puss which really puts a spin on what it means to live a life knowing there is no coming back   all in all  a great film that made me love dreamworks even more  hopeful in the future installments    pros  amazing cinematography and animation  great villain and characters arc  a complete and unique story  cons  some story points that feels to repetitive of the first movie but still blends in really well
Mar 28 2024,positive,lets go with the minuses  i was surprised by the level of violence portrayed in the movie at times its also quite loomingly scary with the characters of wolf played by wagner moura and big jack horner john mulaney being very violent wolf also occupies a very weird place in the film  i remained unclear if he was supposed to be a representation of death or death itself the new animation style was interesting but didnt really seem to serve a real purpose except for it being there    however these are quite minor and the movie itself is quite well put together with logical reasons for each of the characters to look for the wish maybe except kitty but its a small thing in the grand scheme of things perrito voiced by harvey guillen and goldilocks played by sheseverywhere florence pugh are interesting additions to the storyline the humour is also quite well done though again might fly over the kids heads and it was an enjoyable movie     overall a good movie though keep it for the older kids
Mar 28 2024,positive,great movie just everything the voice actors the animation highly recommend
Mar 27 2024,positive,epic animation epic music epic story and epic comedy if you havent seen the movie yet then what are you waiting for go see it now
Mar 27 2024,positive,a hero fallen from grace going through a midlife crisis as he realizes hes aging and death the wolf is getting closer and closer the shrek fairy tail universe is expanded upon introducing a whole plethora of new fun characters subplots to keep you invested and excellent animation and voice acting
Mar 26 2024,positive,this movie is definitely one of the best dreamworks films the cinematography animation voice acting and humour was just all fantastic this might be the next best film from dreamworks since how to train your dragon
Mar 26 2024,positive,fun movie whole family loved it little taco dog was funny and cute
