Dates,Scores,Reviews
Oct 5 2023,positive, the pump has been primed for a return to the shrek universe with a lively sequel to 2011s puss in boots are there sufficient numbers of fairy tales that havent already been mined for laughs in the four shrek movies yes it took over a decade for dreamworks animation to return to the franchise that built it shrek flamed out after four films but its the spinoff puss in boots that spawned this latest incarnation bringing back stars antonio banderas and salma hayek as the titular puss in boots and kitty softpaws respectively we learn that puss has squandered his nine lives by living recklessly and only now that hes on his last life does it begin to sink in just how risky his lives and attitude have been after seeking refuge with a cat lady and meeting the overly sweet therapy dog perrito harvey guillén he learns of a fabled fallen star that will grant one last wish to the person who gets there first hes not alone in his quest as goldi florence pugh and the three bears olivia colman ray winstone samson kayo kitty and big jack horner john mulaney are also after the star all deliver strong vocal performances creating a rich aural tapestry against which the mostly strong animation can stand out the narrative is densely packed but easy to follow and filled with the kind of laughs that once made shrek shrek 2 and puss in boots such highlights in their respective years of release guillén is the standout in this cast the films biggest issues come down to the choice of animation techniques for fight sequences which makes the events feel a little choppy and overly stylized like weve shifted from a traditional computer animated film to a 2d japanese anime picture those sequences are brief and the amazing animation that surrounds them offsets a lot of those concerns its surprising that a character that has been shelved for so long in spite of the netflix series could still prove to be so delightful after all this time in a sea of imitators and the fading of luminaries disney and pixar its nice to see some studios still trying to reach for the stars goldilocks and the three bears provides the characters and a few sight gags for this film alongside the nursery rhyme little jack horner all of them get fleshedout treatments that feel more like a part of the shrek universe than the stand alone zorroinspired puss in boots series yet it feels like a natural extension with the last wish and thats enough to keep the franchise buoyant for the foreseeable future
Aug 16 2023,positive,puss n boots 2 is a shockingly phenomenal movie tackling much deeper themes than one would expect from a kids movie 
Aug 9 2023,positive, puss in boots the last wish grade b this film is so good that your last wish should be that puss in boots tales have at least nine more cinematic lives puss in boots  as perfectly voiced by antonio banderas  is living the carefree life of a scallywag hero he has brazenly faced death so many times that he has gone through eight of his nine cat lives the only way to protect his one remaining life is to go into retirement and hiding at the home of a very zealous cat lover the script by paul fisher the croods a new age has all of the basic elements that make this a fun film on a very elementary level while at the same time weaving in a very smart and sensitive story about life choices it is designed that both young and old should find the tale equally as enjoyable banderas was always a great selection as the voice of puss in boots because of the swashbuckling tone he brings the tabby hero sounds like a defender of men and a lover of women the voice talent is flawless and the story emotionally solid but it is the animation style that truly elevates puss in boots the last wish director joel crawford the croods a new age takes the solid computer generated visual style of dreamworks animation and gives it a jolt by blending both 3d and 2d the overall look is the detailed 3d approach that has been used throughout the shrek franchise but crawford blends in the kind of 2d cgi style that has movies such as spiderman into the spiderverse so popular after more than two decades the shrek franchise could have become very stale instead puss in boots the last wish proves that with a smart script a great voice cast and a fresh approach to the animation it is possible for a production that comes way down the line to be superior to anything that has come before it in the franchise resident alien season two grade b the cable series based on the comic books created by peter hogan and steve parkhouse continues to shine because of alan tudyk his work is a close encounter of the hilarious kind he plays harry a crashlanded alien who takes on the identity of a smalltown colorado doctor he slowly begins to wrestle with the moral dilemma of his secret mission on earth most of the success comes through tudyks work that includes the challenge of showing how an alien would react to suddenly having to deal with a human body then there is the alien language that would have left many tonguetied magic mikes last dance mike channing tatum is recruited to stage a dance production in london will be released on dvd and bluray on april 18 a man called otto tom hanks plays a widow who is looking for an emotional escape but must first deal with a new neighbor will be released on dvd and bluray starting march 14 to have a successful garden you need to know when it is the best time to plant here are the best plants to start in may
Aug 6 2023,positive, shrek is a film cultural phenomenon and bizarre internet meme that has pervaded every crevice of the modern popular zeitgeist from bumbling toddler to cynical adult the animation wonder has nothing but adoration both earned and misguided hurled at it it not only challenged the notion of what cgi animation could accomplish but demolished the mold of what childrens movies could be cleverly subverting classic fairy tales with bracing irreverence the farting utterly vulgar ogre revived the floundering dreamworks animation catapulting them from the pits of oblivion overnight shrek 2 introduced the alluring zorroesque and antonio banderasvoiced puss in boots the swashbuckling dartagnan hatsporting ginger tabby cat became an instant fan favourite garnering his own spinoff movie in 2011 soon after the main shrek quadrilogy concluded with a thud puss in boots the last wish is a longawaited sequel that could have easily coasted off its recognizable property to a handsome box office return instead dreamworks and director joel crawford refused to play it safe crafting one of the most cathartic animated experiences in recent memory brimming with inventive ideas and kaleidoscopic visuals the last wish not only injects vigour into the longdormant shrek franchise but is one of the greatest films of the year period the fearless puss in boots banderas as silkysmooth as ever is synonymous with laughing in the face of certain death spending the better part of his nine lives performing deathdefying feats all of which are gloriously showcased in the raucously gorgeous opening not concerned with being on his last life he comes pawtopaw with a foreboding wolf wagner moura a cloaked bounty hunter with two short scythes who has meticulously waited for puss to be on his final life bested for the first time puss flees towards retirement settling into a cat ladys home and languishing in the mundanity of domestication rendered as a great homage to apocalypse now he comes across the existence of a legendary wishing star that fell to earth eons ago when hes accosted by the cockney goldilocks florence pugh and her family of bears ray winstone oliva colman and samson kayo alongside the showstealing impossibly naïve dog perrito harvey guillén and his old flame kitty softpaws salma hayek the three embark on a journey to find the star and reclaim a fresh batch of new lives all the while vying against the wolf goldilocks bears and the villainous sorceryobsessed big jack horner john mulaney the plot has all the makings of a familiar adventure and in its framework it absolutely is however its execution separates it from its maudlin contemporaries utterly dripping with style this swashbuckling adventure enters the domain of the aweinspiring with pure visual potency painting its great lesson on appreciating the life we have now with an ingenious emotionally invigorating brushstroke the dazzling animation excels on all fronts creating depth with both its astonishing world and multifaceted character design from the nuanced utterly frightening wolf to the grizzled huntresslike goldilocks to pusss visage of inner turmoil each character is imbued with noticeable layers the last wish not only continues the franchises jocular amalgamation of popular fairytale characters but underpins it with a surprising level of maturity fearlessly provoking its young audience into heavy conversations surrounding death fractured families and shattered trust the sheer assortment of fantastical personalitiesall varied eclectic and wholly interestingare never wasted each satisfyingly fulfilling their own arcs in service of a greater one goldilockss reason for pursuing the wishing star is markedly unexpected yet fits the narrative with grace while the irredeemable and feckless big jack horner transforms his famed nursery rhyme into a stark motivator the wolf is a vividly realized personification of death whose piercing red eyes and ominous whistle unearth pusss deepseated fear of the inevitable every time he appears from the shadows even characters like the scrupulous talking cricket make an indelible imprint despite their brief time on screen the evershifting transmogrifying world serves as a wonderful playground for the dynamic propulsive action setpieces straying from the more realistic style of its predecessors the storybooklike animation revels in unbridled creativity not satisfied with just one domain the studio brings forth a bevy of environments that morph from perspective to perspective colliding onto themselves and transforming into something else entirely and even more staggering the result is equally treacherous and resplendent wringing everything possible out of its familiar concept the last wish is a rare animation marvel that astonishes with its visual prowess while deftly delivering mature lessons to a young audience from the complex character design to its transportive worldbuilding the films stellar multitudinous quality coalesces in a wholly cathartic finale though the ultimate route is predictable the numerous shifting pathways and transformations are what make it truly memorable come for the cute cat stay for the deceptively deep character
Jul 25 2023,positive,fantastic exhilarating action phenomenal animation perfect voice acting  an argument could be made for the best animated film of 2022 
Jul 25 2023,positive, over the years dreamworks has lost its notoriety for being an animation powerhouse scrapping its allages edgy stories in favor of appealing to younger audiences  the original fanbase of the animation studio is now adults and it seems like they havent hit the right chord to usher in a new generation of fans it has been 11 years since the first puss in boots and the shrek franchise that ended in a flop but is still relevant in internet memes it has taken a decade for the dreamworks team to revisit the world of far far away in a longawaited sequel that revamps the entire shrek franchise through antonio banderass swordslinging cat  immediately jumping back into the world of puss in boots the film gives the perfect reintroduction to the spanish cat that feels like reconnecting with an old friend the new animation style is in full effect with destruction and festivities  picking up a few years after the first film puss finds himself  at the top of life until he is hit with an existential crisis when he learns he has one life left  for the first time in his life  the invincible puss is now fearful of death as it follows him around in the form of a wolf   to keep a low profile puss moves into the stray cat haven of mama luna where he will waste the rest of his last life as an actual cat  hope is brought to him as he discovers there is a wishing star that will allow him to get his life back if he finds it he is not the only one hunting down the star a collective of characters including goldilocks and the three bears and big jack horner chase after him  add in pusss old flame kitty softpaws to further complicate his task  puss kitty and a scrappy dog perro join forces to embark on a vibrant journey to get the star before their enemies do puss in boots the last wish is the literal wishing star dreamworks has needed to fill the large gap created by its popular franchises ending  waiting over a decade to continue the story of puss and his world was well worth the wait because this sequel delivers in every aspect one of the most notable improvements is the animation style that is an into the spiderversification of shrek with its changes between 24 and 12 frames to match the confidence of puss  the new style embodies the essence of who puss is and allows it to take on a western style fitting the story of an aging hero facing death perfectly two styles of animation are combined 2d handdrawn and cg that blend seamlessly together this change makes the animation feel so exciting to watch as well as allows more creativity for the filmmakers behind the story to take the iconic character to gorgeous landscapes audiences havent seen before  it is very comic bookesque that puts its audience right in the middle of the action through dynamic camera movement   the darkness of the film makes it an outlier of dreamworks animations filmography by showing a visualization of the terror that haunts puss  the entire film is a gift for visual storytellers to pick up on different gags and details on multiple watches  animated films have been lacking recently with casting nonvoice actors into leading roles puss in boots the last wish successfully avoids this by bringing back antonio banderas who has never been better  he adds new layers to his character as he is experiencing emotions for the first time in his life there is a sequence where puss has a panic attack about his destined fate and it is handled with so much empathy by banderass voice choices mixed with the imagery  the new mix of characters from florence pugh john mulaney and olivia colman are the perfect castings as they can bring their personalities into their roles that fit the context of the story  for having so many characters the script fleshes out each villain giving them their moments to shine whether its goldi and her family or the wolf and puss there is a lot of depth in these character decisions jack horner is a traditional bad guy but everyone else is given a chance for the audience to understand their desires or care for them  11 years was well worth the wait for this animated masterpiece about making the most out of our lives and spending time with those we love  this has become the blueprint for how to do an animated sequel that is not lazy but has heart and purpose it is easily toptier dreamworks that will work with any age of moviegoer with its smart but not intimidating nature 
Jul 24 2023,positive, this story is a fairytale reads the opening title card of puss in boots the last wish the spectacular adventurer puss in boots antonio banderas has returned to the silver screen his life is as glamorous as one would expect for a swashbuckling feline but all of that comes crashing down when a doctor anthony mendez tells puss that hes burned through eight of his nine lives puss hears of the famed last wish a special fallen star that can grant one wish hot on his trail are other famed fairytalecharactersturnedvillains goldilocks florence pugh her three bears olivia colman ray winstone  samson kayo and jack horner john mulaney luckily puss wont have to go on this journey alone accompanying him are an old friend kitty softpaws salma hayek and a new one perro harvey guillén the animation magically mixes the 3d style dreamworks is known for with stunning elements of paintlike brushstrokes by no means does this make puss seem lifelike but the strokes add warmth to the animation the characters arent sleek smooth or perfect theres a rustic quality to the illustrations that proves puss in boots the last wish is here to tell a different story something to separate itself from the rest of the dreamworks portfolio and create a new style all its own like puss own selfrealization the film and its titular character come into their own and stand far from the shadows of their origin  of course the film is geared toward children and theres a heartfelt message woven throughout the journey of puss kitty and perro the trials and tribulations of their travels are reminders of whats important in life its about friends family and love and always has been there are some throwback jokes to puss signature pouty look and physical comedy that will surely delight the kids somewhat surprisingly puss in boots the last wish also has its creepy moments throughout the entire journey to the last wish puss is stalked by the big bad wolf aka death wagner moura the wolf is a looming force with bright red eyes who will not stop until he catches up to puss the audiences hair will stand on end just like puss in the scene that introduces the big bad wolf its the first time in the shrek cinematic universe that this character is afforded the darkness of its fairytale origins puss in boots the last wish is the lastminute surprise of the year the film has all the charm the audience has come to expect from the shrek standout but with a blindsiding amount of heart and humor
Jul 14 2023,positive, puss in boots the last wish now on netflix was the first movie in the shrek franchise in more than a decade and by all means should be nothing more than forgettable piffle for sixyearolds but for the first time since donkey first cracked wise and shrek first cracked a fart one of these movies is actually about something and reaches a nearpixar level of substantive achievement to boot but unlike pixar this thoughtful kittycat adventure doesnt prompt us to weep and dribble snot like mad which frankly has been getting a bit old no this puss hits the sweet spot between thoughtful and delightful  something nobody expected in the least the gist warning pending exposition this story is a fairy tale reads a title card so i can lead off like so once upon a time an actual star fell from the sky and created a dark magical forest and within that star was one wish to be granted to whoever might find it end exposition and now to the adorablekitten crap the inimitable puss in boots antonio banderas as ever isnt just a hero of legend and mancat if infamy but a bonafide celebrity who can walk into a room and sing jaunty tunes and just be his own gigantically egotistical self then devour the adoration like a wolf to a pile of bbqed sheep his latest party is interrupted by a giant made of stone and moss and antlers and malevolent whimsy and upon besting the towering beast with his pointy cutlass and pointier wit puss takes a bow and gets his bell rung by an actual bell dong it fell and now hes dead but dont worry cats have nine lives yknow puss awakens and the doctor asks him to county how many hes spent  there was the time with the bulls in pamplona and the other time when he cheated while playing poker with dogs a drunken test of whether cats always land on their feet etc theyre adding up quickly so quickly hes on his last life cue the ohshit moment and therefore puss pauses for a moment of selfreflection which is something he really aint good at hes drowning his sorrows in a glass of the heaviest cream when a bounty hunter approaches him hes always got bounty hunters on his butt  blame notoriety and a little ethical compromise for that  but this ones different its wolf wagner moura who appears with red eyes and a hooded cloak and a pair of sickles and its pretty clear who he really is you know the big d and for the first time in his lives puss is terrified and runs away from a fight all this is actually kind of funny in an existentialhorror kind of way and also in a cutecatactinglikeacutecat kind of way i mean he gets drunk on heavy cream its a balancing act anyway puss buries his hat and boots  the legend the whole persona  and runnofts to the home of mama luna davine joy randolph a crazy cat lady wholl adopt any stray puddy who knocks on her door she puts mittens and a bell on him and names him pickles and hes mortified and depressed and grows a big long beard but at least he makes a pal in a chihuahua disguised as a cat nameless but soon to be known as perrito harvey guillen this is about when the plot really starts losing its mind because a crime family consisting of goldilocks florence pugh and the three bears olivia colman ray winstone and samson kayo wants the bounty for puss and this is when the fallen starwish exposition makes itself relevant because everyone here decides to quest for it competitively and puss motivation is hell wish for his nine lives back so he can resume being his old self it aint gonna be easy because big jack horner john mulaney and a bug that looks a lot like jiminy cricket kevin mccann and puss old nemesis kitty softpaws salma hayek pinault join the fray making sure this all gets very complicated much to our delight what movies will it remind you of rango it reminds me of rango and yes thats intended to be a compliment one hell of a compliment performance worth watching hearing far too often celeb voice work in animated films is little more than a marketing tool hoping to lure us into the theater to hear i dunno woody allen voice an insect or whatever with underwhelming results but as the voice of puss banderas has true spirit and character and gives one of the more lively voiceover performances in recent memory  memorable dialogue wolf confirms our suspicions about his identity i dont mean it metaphorically or rhetorically or poetically or theoretically or in any other fancy way im death straight up and ive come for you puss in boots our take the last wish is ingenious in many ways the character dynamics are richly layered with puss and softpaws cynical mefirstisms countered by perritos pure heart goldilocks and the bears struggle to find happiness you know something thats not too hot or too cold but just right and jack horners concupiscence for power and fairytale artifacts a neverending desire for more more more that has incurably corrupted him they all fight over a treasure map to the fallen star that offers everyone a different path through the forest shifting its physical reality into psychetraps for all parties  and this is where puss stares down his mortality and wonders if he truly values who he is what hes done and where hes headed heady stuff sure but not always and definitely not quite on the nose director joel crawford and codirector januel mercado take pains to make everything accessible to all audiences a fairy tale with some classical grimm underpinnings the script is consistently funny foregoing the snarky selfskewering that defined the shrek franchise swapping it for a more timeless sensibility consisting of whipcracking oneliners and characterbased comedy although the references are still intact  keep your eyes peeled for nods to t2 and sergio leones spaghetti westerns slapstick action is present as ever but not overdone executed with crisp visual acumen and a welcome touch of experimentation decelerated frame rates give it an almost comicbooky feel  the films callow intelligence cant be understated puss in boots infamous for his bloated sense of selfconfidence finds himself neckdeep in the quicksand of an identity crisis we love the guy but he needed to be taken down a peg for him to become someone of true depth and character and so he becomes more than just a joke machine blossoming into full actualized personhood except hes a cat in boots and a hat with a little lappy tongue and who can still do the pooradorablekitty thing with his eyes thatll gooify you in seconds but now were emotionally involved with his psychological wellbeing something we surely never ever thought would happen with a character in a shrek spinoff who knew puss in boots could sink his claws in so deep
Jun 28 2023,positive,its darn good
Jun 2 2023,positive,                                                                               finally an animated movie sequel thats worth the wait one has come to expect little from computer animated franchise films these days  or any franchise films for that matter but puss in boots the last wish a follow up to the 2011 film puss in boots is both fun and thoughtful both puss in boots films have been directed by joel crawford with a stellar voice cast lead by antonio banderas as the swordwielding showman hero and fugitive cat a spinoff from the shrek franchise this is the story of a walking talking cat who sings songs celebrating his own greatness after hes vanquished a menacing giant a fallen bell sounds pusss death knell a lifetime of shenanigans and adventures later puss learns that he has ploughed through eight of his nine lives on doctors advice he hangs up his hat and boots and opts for a sedentary and safe life as a pet taking shelter with cat lady mama luna davine joy randolph he learns how to live as a domestic pet eating cat food and sharing a litter with tens of other felines so this is where dignity goes to die he mutters sardonically as he queues up for the communal litter trough thats until the cockney crime loving family of goldilocks florence pugh and the three bears olivia colman ray winstone samson kayo comes looking for puss in boots they need his help to steal a map to the magical star fearing death and an end to his legendary status an invigorated puss embarks on a quest to find the map the star and make his last wish a lonely but optimistic dog harvey guillén with aspirations of becoming a therapy dog becomes his unsolicited sidekick as they seek out the map they also encounter kitty softpaws salma hayek pusss competition and former love interest screenwriters paul fisher tommy swerdlow and tom wheeler build a fairy tale nursery rhyme multiverse into the story besides goldilocks and the three bears theres also big jack horner john mulaney a supersized avatar of little jack horner who stuck his thumb in a pie and pulled out a plum big jack horner is malevolent avaricious piemaker and collector of prized artefacts from excalibur to a flying carpet magic nanny bag and unicorn horns another dark force is the red eyed wolf wagner moura who haunts and follows puss on this rideordie adventure puss learns many lessons among them trust kinship and breaking down his own hubris the banter between puss and kitty banderas and hayekis especially fun as she ribs him he responds mock me quietly please through the little dog perrito they learn the value of stopping to smell the roses animal wisdom for the soul is peppered into an energetic and fastpaced narrative with colourful 3d rendering that creates an amusing family film voiced by a topnotch cast
