Dates,Scores,Reviews
Apr 6 2024,positive,second greatest movie of all time behind its sequel adding more characters and continuing the story seems like it could still be hard but the story continues to get better
Apr 6 2024,positive,the greatest sequel ever made simply perfect any criticisms ive heard is simply not legit its just some people need stuff to say
Mar 4 2024,positive,the best of the 3 film incredible beautifull cool interesting everything is good except the umbar showed like ugly savage
Mar 4 2024,positive,one of the greatest movies ever made
Mar 3 2024,positive,spoiler warning  this movie is incredible and my personal favorite movie of all time tied with the other two in the trilogy there is so much to love in this movie so i summed it all up with this one scene     remember the great stories mr frodo  this scene fills me with motivation even in the darkest of times after frodo is corrupted by the ring and is mentally forced to kill samwise on the dark outskirts of mordor frodo has lost all hope and doubts whether he should keep going or not however samwise reminds him of the great stories when heroes kept going even when times were tough and all looked lost as samwises speech echoes onto the renowned battle of helms deep and the flooding of isengard frodo starts to realize that even if it is but a tiny sliver there is hope    what makes this scene so emotional is that this happens to almost everyone there will be a point in your life when you feel like nothing is left and this scene is a beautiful reminder of why there is always a future no matter the circumstances you are capable of so much and any human can push through anything it just takes true will to do so    this scene concludes the movie in spectacular fashion as things look bright for the battle of helms deep and our heroes go on to continue their journey my eyes fill with tears every time i hear samwise the brave talking over howard shores beautiful score this scene also portrays true brotherhood and that you can lift anyone including yourself up just with some positive thinking    in conclusion this film is a breathtaking masterpiece that serves as an amazing build up to the grand finale i feel like every individual scene had heart and soul put into it and has a valid reason for why its there this movie also has deeper themes of brotherhood perseverance and addiction i highly recommend viewing this incredible trilogy as it represents what makes us human and what we are capable of
Feb 27 2024,positive,my favorite of all 3 installments of the trilogy the two towers will take you into a roller coaster of emotions it is exciting funny and emotional the battle scenes are out of this world the epic entrances of heroes are the best i have ever seen in any movie ever it has everything from funny moments to screams of excitement and boohoo crying your eyes out     the two towers mostly concentrates on rohan and saruman while frodo and sam embark on their own journey it is fascinating to see the film develop and how the stories like the fellowship are supporting one another even unknowingly    there is just a level of perfection to this movie that it is impossible to surpass peter jackson set a standard that is just unfair to measure other directors
Feb 25 2024,positive,while not surpassing the previous film it does manage to surpass 99 of other movies it continues with the high level of quality of the first film all around a great film and sequel
Feb 15 2024,positive,this is my favorite movie of all time and as close to perfection as i think there is
Feb 12 2024,positive,although it cant help but feel like the prelude it is the two towers nevertheless offers fun action great story arcs and cgi as fantastic as its told to be
Jan 22 2024,positive,entertaining from start to finish with epic battlefight scenes
Jan 19 2024,positive,this movie is even more exciting than the first once again peter jackson delivers an exciting interpretation of tolkiens world this is a film that i would certainly recommend
Jan 15 2024,positive,could you imagine acting in a lengthy fantasy movie where all your character did was hang out with a group of animated trees for the entire time or would your role in the whole film be known most for literally kicking the bucket anyway the two towers is a fun movie for fans of the fantasy genre almost halfway through watching the extended edition of the film i started running the math to conclude the trilogy could have been a twelve or thirteenepisode season for some random streaming service if it was produced now instead of over twenty years ago also i completely forgot brad dourif is in this movie
Jan 12 2024,positive,perfect all three are my favourite films of all time
Jan 10 2024,positive,they made a second one
Dec 31 2023,positive,no tom bombadil no valar none of that is a problem for me    as fantastical as middleearth is at times it still seems like a real place facing very real problems one of the biggest issues with mapping out your world and its deities so much is that it can make everything else seem inconsequential or impossible to understand without saying well i guess the gods work in mysterious ways    if you need an example of this just see the recent mcu everything is on such a massive scaletipping level that it makes what happens with the streetlevel characters seem pretty unimportant    that is one flaw of the lord of the rings books not shared by the movies not knowing that melkors defeat was the real threat to the planet while his fractionallyaspowerful minion saurons was just a kid trying to recreate his parents business and failing does wonders for the gravity of the consequences    movies  books
Dec 27 2023,positive,my favorite movie in the series and a 1010 film i was very excited to see this for the first time and when i finally did it surpasses my expectations
Dec 22 2023,negative,it was no terror of tiny town thats for sure
Dec 22 2023,positive,a great middle chapter the two towers features the introduction of gollum and builds upon the world of the first film
Dec 9 2023,positive,the lord of the rings the two towers is one of my favorite films  the cgi on gollum is great and all the characters are great  the best part in the movie is the battle of helms deep  its a masterpiece and i highly recommend this movie
Dec 1 2023,positive,speechless after this film after the fellowship brought us in hard this movie delivers a powerful punch this is the climax of the trilogy and it flows so well just brilliant you will be wanting more and more
Nov 19 2023,positive,this movie was truly spectacular it has awesome action and suspense it is one of the best action and adventure films of all time
Nov 10 2023,positive,just finished watching this masterpiece again such an awesome bunch of films
Nov 7 2023,positive,what a great sequel thats all i can say that this is definitely a sequel this is definitely a movie that you have to watch the first one to know whats going on in the second one and i think the book was like that too so throughout the movie the first act started out with a clear mission from the first movie to get to modor also theres another plot line with aragorn and the rest of his friends that might play out in the third movie as well but the main thing that i really like about this movie is the third act usually third acts begin with a little slow burn and then build up to a final battle this third act in my opinion starts with the battle and finishes with the battle and this movie is called the two towers which i cant really see the other tower but thats fine because i was fully entertained this definitely works as a sequel usually i like movies to  work as their own movie and a sequel but this definitely works as a sequel that you have to watch the first one to get this the best character in this movie is a aragorn and gollum and gollum steals to sing for me because hes so twisted and crazy that is very entertaining overall battles are straight up entertaining the characters were the same as the first one and overall i cant wait for the finale not better than the first one in my opinion but really damn good 910
Nov 5 2023,positive,my favorite of the series
Nov 4 2023,positive,this one its a tiny bitty more hard to watch but its magnificent nevertheless its just that the frodosamgollum part is more slow than the rohan part
Oct 31 2023,positive,this movie is great there is so much thrill and action and such an amazing story masterpiece and a must watch
Oct 11 2023,positive,the two towers is incredible for all of the same reasons as the other films in peter jacksons trilogy the siege of helms deep is for my money still one of the great battle scenes in cinema    still upon rewatching the extended edition some of the more intimate scenes really shined through the looks like meats back on the menu boys parley had me cracking up also aragorns dreamvision of arwen before he is awoken by brego as a dude in my late 30s there is honestly nothing sexier than the love of your life gently encouraging you to go back to sleep
Oct 11 2023,positive,without a doubt the trilogys best given that this movie has the atmosphere of an action thriller peter jacksons style of filmmaking truly stands out in this one
Oct 5 2023,positive,watched the extended cut in theaters and seeing that cinematography in the big screens was out of this world
