Dates,Scores,Reviews
Jul 28 2023,positive, youd think that tacking on an additional 43 minutes to the threehour movie would be overkill but the extended version actually feels shorter than the theatrical release  possibly because it tells a more thorough story two towers continues where the fellowship of the ring left off with the fellowship splintered into two groups frodo and sam head for mordor to destroy the ring they are aided by gollum a mysterious creature who once was a hobbit but now may not be trusted meanwhile the trifecta of man elf and dwarf aragorn legolas gimli head to rohan to defend the last of a dying breed  human beings where the extended version enhances the original theatrical release is in its filling in of the details that director peter jackson had to cut out to ensure that moviegoers wouldnt leave theaters before the film was over anyone who saw two towers in theaters last winter will recognize that the films beginning is different before gollum confronts frodo and sam the pair is shown joking and pratfalling before they realize exactly how lost they are their always ravenous fellow hobbits merry and pippin also get extended play at one point floating through a sea of delectable treats we also learn that the studly warrior and wouldbe king aragorn actually is an old man of 87 the best back story though is that of boromir and his brother faramir boromir was killed in fellowship in the theatrical version of two towers we saw faramir as a rather heartless soldier who treated frodo and sam unkindly in the dvd version jackson shows how the brothers grew up  with their father favoring boromir and treating faramir as the screwup he never was you dont excuse his behavior but you begin to understand why he is who he is this fourdisc set also includes extras such as production documentaries photo galleries and a really cool look at the making of gollumsmeagol but the real treat is those extra 43 minutes that tie the film together without making it feel any longer currently you have javascript disabled in order to post comments please make sure javascript and cookies are enabled and reload the page click here for instructions on how to enable javascript in your browser
Aug 23 2022,positive, peter jacksons the fellowship of the ring was an extraordinary introduction to his lord of the rings trilogy it not only introduced us to its compelling assortment of characters but it also firmly planted us within jrr tolkiens vast enchanting world but its the second installment the two towers where the series truly hits its stride the two towers takes the story of its predecessor and expands it in every way fascinating new characters more lands throughout middleearth and even higher stakes than before but one of jacksons many great accomplishments is how seamlessly he blends these new pieces into the existing fabric and despite the immensity of his scope the movie never loses its intimacy picking up where fellowship left off frodo elijah wood and sams sean astin journey to destroy the one ring has grown more arduous and the weight of the ring more burdensome as the two struggle to find a path to mordor the sallow emaciated gollum andy serkis secretly follows them he was the rings former owner consumed by its power and desperate to reclaim it when gollum is discovered frodo shows pity and uses him as a guide against the pleas of a concerned sam a second story thread follows aragorn viggo mortensen legolas orlando bloom and gimli john rhysdavies as they follow the trail of their abducted hobbit companions merry dominic monaghan and pippin billy boyd they are led through the wartorn lands of rohan whose king theodin bernard hill lies under a spell of the wicked wizard saruman christopher lee and yet a third story thread follows the aforementioned merry and pippin who manage to escape their urukhai captors after the orc soldiers are attacked by éomer karl urban and his exiled riders of rohan the two hobbits hide deep within fanghorn forest where they encounter a mysterious tree beings called ents the challenges for this incredible threeheaded story are obvious huge in scale and with a ton of ground to cover yet vitally important that it all comes together jackson melds together his many moving parts with remarkable precision and of the several new characters introduced not a one feels wasted or undeserved each fit and have a place in tolkiens tumultuous world yet have their own personal storylines that take form without ever feeling pointless or intrusive its a remarkable mixture of character and narrative then there is the genius of jacksons technique from his sweeping camera combing the exquisite new zealand landscapes to the subtlest of closeups capturing every worry concern and pain of the characters equally exhilarating are the action scenes both small and epic in size its hard not to be blown away by his framing of the action as well as weta workshops extraordinary special effects jackson really opens it up with the first of the series huge battlefield sequences the battle for helms deep remains my favorite segment in the entire trilogy much more could be talked about including jacksons knack for not only building tension but maintaining it throughout a sequence also the two towers highlights jacksons keen ability to convey to the audience an incredible sense of the mystical and magical the world he and his teams place us in are rich with imagination and the fantastical but the greatest thing about the series is that its far more than eye candy and sparkly window dressing its the characters and their stories that form the heart of trilogy thats especially true for the two towers someday i will have to watch these movies again  i remember not liking two towers as much because it deviated from the book and i am a bit of a purist when it comes to that haha  but i really do need to watch them again and maybe appreciate this one for its onscreen value because books and screens are two very different mediums very true i get being a purist but youre exactly right they are very different mediums for me deviating from source material is okay as long as it makes sense and serves well the story the filmmaker is telling what stinks is when filmmakers deviate from the source material and the results miss the mark its tricky though the whole trilogy has been on starz lately as i rewatched them as theres so many things about the the trilogy that is awesome  i agree that the two towers doesnt get enough love as i enjoyed the strands of narrative into the three journeys of the fellowship and how it impacts everyone  the extended version of that film i feel is an improvement as it gave the audience more information about who faramir as well as boromir who we first saw in the film as kind of a dick but once we see him in the 2nd part of the extended film  we realize that he was acting more like his father and was more concerned in giving his brother some praise i adore the extended editions they fill in so much information i do love boromir i was indeed seduced by the power of the ring but he was also a great redemption story he sacrificed himself to try and buy time for the others and his heartfelt confession to aragorn still gets me same here  i also loved what they did for faramir in the extended version of the film where he took frodo sam and gollum to a secret path as it showed his own path for not just redemption but also to keep the ring away from gondor great review but seeing the lord of the rings in the same line with the word retro felt weird for me and a little bit painful because for me it seemed like yesterday that the lord was in cinemas and i do miss very much the 20002002 period in films my favourite has got to be the first movie but i do get all the appreciation for this one too i know im thinking i should take retro off is it really retro i dont know it would certainly make me feel better if it wasnt lol while ill always have a soft spot for fellowship particularly the balrog sequence two towers will always be the best overall film in the trilogy for story character and pacing and of course the helms deep attack when that wall blew apart so did my mind just an astonishing film accomplishment  disclosure over the last few weeks ive been digging into both the rings and hobbit appendicies dvds reminiscing over my love of all things middle earth oh man those extended editions are so good love them as for two towers so many scenes stand out when the wall blewyes the expressions and sense of dread its fabulous you really feel a sense of doom but when gandolf shows up with a light to the easti get chills
May 20 2022,positive,the battle of helms deep in it of itself is a grand cinematic achievement the two towers is possibly the best middle entry of any film trilogy ever full review in spanish
Mar 12 2022,positive, peter jacksons cinematic recreation of lord of the rings the two towers 2002 is thrilling enthralling and dizzyingly exciting jackson finds the soul of the film in viggo mortensens wandering warriorprince aragorn reveals the torment in elijah woods chosenone pilgrim frodo and the soulcrushing weight of the ring that tolkien could only talk around and he turns the wary relationship between frodo and the gnarled psychotically obsessed gollum into the defining drama of frodos hopes and fears along the quest the famously computer generated gollum is a wonder of a character a feral stray dog with a schizophrenic nature at war with himself when he gets his first taste of kindness from frodo as tragically human as any character in the party the motioncapture performance by andy serkis set the bar for the marriage of acting and special effects jackson dares to throw the viewer into the fray without little more than a brief nightmarish flashback and turns the battle of helms deep a brief ten page episode in the novel into the thrilling turning point in the war the first glimpse of the coming apocalypse and the triumph of solidarity in the face of the march of evil jacksons camera once again swoops over landscapes like an eagle charges through the hordes that blanket the earth and slows only in moments of intimacy more than simply translate the fantasy masterpiece to the screen with respect jackson brings blood and thunder and human scale to a tale so long relegated to the archetypes of myth the returning cast includes ian mckellen as gandalf sean astin as frodos loyal friend samwise dominic monaghan and billy boyd as hobbits merry and pippin orlando bloom as elf warrior legolas john rhysdavies as dwarf warrior gimli and christopher lee as saruman cate blanchett liv tyler hugo weaving miranda otto bernard hill david wenham karl urban and brad dourif costar months after the film was released to dvd and bluray jackson released an extended version exclusively to home video running almost four hours long jacksons extended version weaves not just deleted scenes back into his vision but additional background and character insight shaved out of existing scenes most of it is appropriately folded into the beginning which reintroduces frodo with an entirely different scene and ending giving the audience more time to ease down from the power of the battle of helms deep though not essential information it adds in the kind of weight that gives the epic even greater heft and home video is the perfect arena for such an expansion there is about 40 minutes of new footage all told 11 minutes of longer version belong to credits dedicated to the members of the lord of the rings fan club dont miss a single recommendation subscribe to the stream on demand weekly newsletter your email address will not be shared and follow us on facebook and x formerly known as twitter supplements on the two disc special edition of the original theatrical version include the 14minute madeforcable documentary on the set the lord of the rings the two towers originally made for starz and the 43minute wb special return to middleearth sean astins fiveminute side project the long and short of it a sweet little short made with volunteers from the cast and crew and a making of astins film and eight brief behindthescenes featurettes originally made for  disc 3 and 4the appendicesfeature an epic documentary to match the production following the film from adapting and scripting through constructing the sets and props shooting the production and creating the special effects to editing scoring and mixing the film all organized in wellshaped chapters that can be viewed individually or seen straight through as a single sixhour overview the chapter on gollum a fascinating invitation into the process of creating a fully fleshed out cgi character and a tribute to the skills of andy serkis whose performance helped sculpt and enrich that character can stand alone as a feature length piece to supplement the documentary are an atlas of middleearth tracing the journey an interactive map of new zealand showing the shooting locations and galleries featuring hundreds of behindthescenes photographs personal cast photos and production art which can also be viewed as slideshows with commentaries by the artists the gift set features a gollum polystone statue created by sideshow weta a bonus dvd with a documentary about the weta workshop and how the gollum statue was created and a printed companion piece showing how gollum evolved from pencil sketch to digital character sean axmaker is a seattle film critic and writer he writes the weekly newspaper column stream on demand and the companion website and his work appears at rogerebertcom turner classic movies online the film noir foundation and parallax view
Nov 17 2020,positive,what jacksons storytelling lacks in coherency  a major problem for nontolkienites with the first film  he makes up for with a newfound sense of urgency and a richer blend of drama humour and human emotion
Oct 27 2020,positive, amazon prime video has developed a sizeable bank of movies over the years and remains arguably the best streaming platform to offer a cross section of indian cinema but endless scrolling to find the gems can be tiresome thats why were bringing you our list of 60 of the best movies currently streaming on amazon prime video india as of october 2020 let the bingeing begin the adam driverled riveting investigative thriller chronicles the senates investigation into the cias use of torture following the 911 attacks the report is both engrossing and infuriating and serves as the perfect counter piece to kathryn bigelows zero dark thirty lijo jose pellisserys kinetic spectacle based on s hareeshs short story maoist explores masculinity like few films before it at a basic level the film is about retrieving a lost buffalo but that oneline summary doesnt do justice to the surreal energy and spectacular chaos of the film people have been picking it apart for its meaning ever since it released we invite you to do the same a gangsteresque saga set in the world of politics prithviraj sukumarans impressive directorial debut is the largerthanlife masala film done right the mohanlalstarrer is bursting with swag has a genuinely gripping plot and is full of delicious twists and turns resulting in a strong political drama and delicious revenge saga in equal measure nag ashwins mahanati is an ode to one of telugu cinemas greatest actorssavitri nag ashwins take on the saviritri story successfully explores a complex woman and her turbulent journey brought to life by an unforgettable performance from keerthy suresh todd haynes spellbinding book adaption is as visually dazzling as it is sensitive haynes takes you on a deeply affecting journey by following the adventures of two deaf children across different time periods while exploring their curious connection the action epic that put kannada cinema on the map like few before it became the first kannada film to cross the rs 100crore mark at the box office the ambitious gangster saga led by rocking star yash is a rousing underdog story which gives indian cinema yet another largerthanlife franchise to look forward to kathryn bigelows expansive drama follows the decadelong international manhunt for osama bin laden from the events of 911 to his eventual death at the hands of us marines in konkona sen sharmas sparkling directorial debut a shy and sensitive indian student vikrant massey pays a heavy price for his gentleness while on a road trip with his conceited relatives and family friends led by a hauntingly beautiful performance from massey a death in the gunj remains one of the strongest ensemble dramas of recent years tamil cinema has had its share of fatherdaughter based films but few are as affecting complex and disturbing as this mammootty starrer the film dives into the psyche of a helpless father whos taken custody of his teenage daughter suffering from cerebral palsy peranbu is a piercing coming of age drama which also raises several pertinent questions about parenting disability and sexuality kumail nanjiani and emily gordons reallife love story serves as inspiration for the film that put romantic comedies back on the map bursting with heart and great one liners the big sick is a witty and charming exploration of love and family while exploring clashing cultures with a much needed dose of empathy led by a careertopping performance from ram charan set in the 80s rangasthalam tells the story of an innocent villager with a hearing impairment who gets mixed up in a political feud involving his elder brother director sukumar impressively uses the big masala film to explore caste class and oppression saoirse ronan emma watson florence pugh laura dern timothée chalamet and meryl streep star in a movie from writerdirector greta gerwigs that does justice to their insane collective talent and the book on which the movie is based thats it thats all you need to know when a boy from an impoverished and oppressed farming family kills a big shot his father dhanush in fantastic form fears retribution he flees with the boy the big shots men in pursuit coming right after vetri maarandhanushs gorgeous vada chennai asuran evokes mixed feelings the screenplay is brilliantly cyclical and theres no denying the power of the mood and the material in a film you wont be able to shake off for days on end a woman wakes up without clothes in a desolate building youd think you were in for a survival drama like trapped but rathna kumar s aadai plays with your head by making kamini a sensational amala paul a fascinating and morally questionable figure leading to one hell of a morality tale when it comes to huge spectacle action there is no greater living example than the chaotic achievement that is george millers mad max fury road fury road is just nonstop carefully crafted carnage which somehow manages to be coherent all while having used minimal cgi fury road is a masterpiece of mayhem which cemented charlize theron as one of the greatest modern action stars and theres no experience quite like it in an industry inundated with stories where things always work out akshay roys meri pyaari bindu gave hindi cinema a rare look at heartbreak it made a long overdue case for why some relationships dont always work out and how sometimes that is the happy ending ayushmann khurrana stars as the writer who cant get over the one that got away parineeti chopra as bindu a bleak drama from kenneth lonergan manchester by the sea is a deeply personal film which examines the ways tragedy can wear away at a persons soul and whether it is possible to come back from the brink despite the heartbreaking premise  the film is filled with unexpected moments of humour and warmth winner of the national award for best hindi film rajkummar rao stars as a fishoutofwater government clerk who tries to run a free and fair election in the naxalcontrolled conflictridden jungles of india in a nuanced film that explores the painful shortcomings of indian democracy gareth evans gloriously violent indonesian film features a police officer trapped in an apartment building filled with an army of bad guys he has to fight his way through it has relentless endtoend killing with some of the most brutal fight scenes youve ever seen but despite its singular bone breaking vision it still manages to have a satisfying plot and some fantastically wellcrafted scenes of tension amidst the blood bath on face value doug limans edge of tomorrow deals with familiar tropes  of a war for the planet and time loops and alien invasions  but its brilliantly executed with some fantastic combat sequences not to mention one of the most badass female action heroes in emily blunts full metal bitch edge of tomorrow has tom cruise as a man forced to relive the same day over and over again in a spectacular action flick that you just want to revisit over and over again war is the definitive bollywood action film of its time which proved to the world that hindi cinema can do the slick sophisticated blockbuster and do it well its tiger shroffs best film and the only film thats really known how to capture his ability and channel it into something actually cinematic even at its most ridiculous its never not fun and it perfectly nailed the novelty of the two hero film war is an unapologetic star vehicle at its best bursting with style attitude and just pure swag its hard to pick just one amongst peter jacksons middle earth epic in terms of battle sequences alone  its hard to find one thats quite as daunting and absorbing as the battle for helms deep in the two towers followed closely by the battle for minas tirith in the return of the king in one of the greatest good vs evil stories ever told peter jackson throws you onto the battlefield with your favourite characters its also straight up badass becauselegolas just legolas the predictable but urgent malayalamlanguage thriller has the sort of moral premise that allows it to transcend the trappings of lockdown storytelling and exist as an organic computerscreen movie  more on the lines of international hits like searching and unfriended the revelations arent shocking but theres an arc to its characters  especially fahadh faasils  that humanizes both the distance and intimacy of modern technology hrishikesh mukherjees chupke chupke is a laughoutloud comedy of errors about a man who is pretending to be a driver expect constant confusion and choreographed chaos of the best kind the definitive comingofage drama which marked the directorial debut of farhan akhtar remains just as complex and intricate today as it did when it came out almost 20 years ago aamir khan saif ali khan and akshaye khanna play loyal friends that overcome various obstacles of life in a film that captures college life and the transition into adulthood like no film before it and few since have one of indian cinemas most iconic comedy the film takes a deep dark look into the scandals of bureaucracy and politics two mumbaibased photographers get caught up a builders surreptitious dealings with the government along with a murder which ends with the comical revamp of the mahabharata that will forever be etched in cinema history few movies can claim to have the level of national presence and dedicated following of jab we met with geets lovable chattiness pritams groovy soundtrack and so much more imtiaz ali created his own canon for bollywood romcoms filled with humour and emotion of an unforgettable kind amitabh bachchans i can talk english i can walk english i can laugh english is forever etched in the hallmark of great bollywood dialogues this is a blockbuster comedy difficult to top bachchan maintains his comic timing beating thugs with style and with bappi lahiris evergreen soundtrack this actioncomedy is one for the ages the directorial debut of nandita das set one month after the 2002 gujarat riots explores the lives of the survivors and victims unabashedly  those that witnessed an entire city burn and crumble this pithy and haunting film goes deep into the psychological and mental anguish the communal riots caused and through that makes a plea for peace and harmony family guy creator seth macfarlane brings his signature popculturereferencing insultcomedy style to this story of a boy whose birthday wish brings his teddy bear to life except 30 years later its not as cute anymore as the two manchildren just lounge around doing drugs and being idiots ted gives us one of the greatest comedic characters  a lovable foulmouthed cuddly toy full of memorable oneliners who armed us with an arsenal of handy insults set against the backdrop of the 2018 nipah virus outbreak in kerala individuals from various walks of life come together to contain its spread in this gripping malayalamlanguage thriller parvathy thiruvothu tovino thomas and revathi star in a film thats never been more relevant and despite its haunting subject matter is ultimately a story of hope one mans heartpounding crusade to tear down the crooked system that created him the bourne trilogy is a shining example of a single story told over three parts the less said about the 2016 attempt to reboot the series the better the sophisticated espionage series that reinvented onscreen action gave us a new more rooted kind of spy thriller far removed from the bond school of blockbuster but no less exhilarating rajkumar santoshis immensely quotable cult classic about a pair of hapless slugs who hatch harebrained schemes to get rich played by aamir khan and salman khan remains every bit the whirlwind comedy it was when it came out decades ago for everything else theres crime master gogo in what remains one of the greatest and most influential gangster epics of all time city of god chronicles the lives of young gangsters in brazils sultry slums giving us a sprawling saga of drugs poverty crime and utter swag a shining example of the new wave of telugu cinema the wellcrafted comedy thriller starring naveen polishetty is as hilarious as it is engrossing masterfully navigating the delicate balance act of humour and a tense high stakes plot surrounding a series of murders years before he was asked to reboot another iconic space saga jj abrams was tasked with reimagining star trek leading to a wellconceived and sorely underrated reimagining of the iconic franchise star trek masterfully paid homage to the old while paving the way for the new whilst also making it accessible to those of us who werent previously married to the star trek franchise with a strong ensemble cast recreating beloved characters abrams gave us an origin story of the uss enterprise and its colourful crew led by the chris pines charismatic james t kirk shankars pure unhinged scifi spectacle for all its slipups has two things we rarely see in indian cinema  dazzling imagination and sheer vision the scale the visuals the many forms of rajinikanth going head to head with akshay kumar make the film a must watch rahi anil barves debut film must be celebrated not only for its ambition gumption and scale but also its fascinating exploration of the horror fantasy genre while looking for a secret treasure in a village in 20thcentury maharashtra a man and his son face the consequences of building a temple for a legendary demon whos not supposed to be worshipped a minor confrontation between a cop and an exarmy man snowballs into an escalation of egos and powerplay directed and written by sachy and anchored by two terrific performances from biju menon and prithviraj sukumaran ayyappanum koshiyum is a fascinating exploration of masculinity and privilege neatly packaged in a riveting thriller deliciously despicable and delectably sinister bornila chatterjees the hungry is a gloriously wellmade revenge drama lead by an electric ensemble of seasoned performers like naseeruddin shah tisca chopra and sayani gupta leonardo dicaprio brad pitt and margot robbie lead the ensemble cast of quentin tarantinos fairy tale tribute to the waning days of hollywoods golden age which follows an ageing actor dicaprio and his longtime friend and stunt double pitt as they navigate a changing industry this nostalgic throwback to classic scifi thrillers follows a young switchboard operator and a radio dj whose discovery of a mysterious audio frequency sets off a series of discoveries that lead them deep into the unknown the vast of night is a film you wont forget announcing its writers director and cast as new talents to watch out for set in the coastal of village of chellanam near ernakulam lijo jose pellisserys sixth film traces a series of unfortunate events that follows the death of vavachan mestri kainakary thankaraj a few moments after he tells his son eeshi chemban vinod jose about his dream funeral despite the sombre setting the film takes the form of a dark comedy with several laughoutloud moments popping up every few minutes four brothers who share a lovehate relationship stand behind one of their own in matters of the heart in this malayalamlanguage family drama that has fast become one of the most beloved indian films of recent years an idealistic young man from a poor oppressed caste family strikes a friendship with a much wealthier female classmate at law school in this tamillanguage film earning him the wrath of her relatives and the society at large directed by mari selvaraj and produced by pa ranjith pariyerum perumal is a scathing look at the caste system and the society that is blind to it after mulk and article 15 anubhav sinha set his sights on domestic abuse in his most recent social drama thappad the film stars taapsee pannu as a devoted wife whose entire world is shaken after her seemingly loving husband pavail gulati slaps her in a fit of rage what follows is her messy turbulent quest for justice and divorce all while her family friends and lawyers try and make her see reason and not overreact at what was just a slap gully boy followed a predictable underdog trajectory but zoya akhtar and cowriter reema kagti build on these layers of finely etched relationships memorable characters and an unforgettable 18track soundtrack when murad finally says apna time aayega you believe for a brief moment in time that you can also overcome the odds  and what could be better than that writerdirector sharat katariyas delightfully sensitive romantic drama set in the haridwar of 1995 is about a boy with low selfesteem and no achievements ayushmann khurrana who is compelled by his family to marry a smart feisty educated girl bhumi pednekar despite his objections to her plussized physique the harry potter movies are the rare series to defy the notion that the books are always better rather than better or worse the films were almost an extension of the books wonderfully bringing to life jk rowlings fantastical wizarding world as the definitive franchise an entire generation grew up with based on the 2003 book by cressida cowell the film tells the story of misunderstood teenager hiccup who is overlooked and underestimated by his warrior father who forms an unlikely friendship with a dragon how to train your dragon is the perfect mix of beautiful animation delightful characters and a fantastic adventure rooted in the idea of empathy anurag kashyaps black friday is more of a feeling  singularly shocking stirring cataclysmic yet journalistic and depressingly objective and one of the great achievements in indian cinema the reflective effect of this movie about the 1993 bomb blasts based on hussain zaidis superbly researched novel was so powerful that nothing less than a tada verdict forced the courts to certify its legality vishal bhardwajs first film in his shakespeare trilogy was an adaptation of macbeth beautifully transposed to the mumbai underworld maqbool was a triumph of casting with unforgettable performances from its ensemble of stalwarts like irrfan khan tabu pankaj kapoor naseeruddin shah and om puri shoojit sircars october is a thing of heartbreaking beauty a boy varun dhawan coasts through life aimlessly until random tragedy strikes taking over his life in ways he doesnt quite understand leaving him forever changed an unshakeable portrait of pain and trauma honey boy is based on shia labeoufs adolescence as a child actor with an abusive father which sees the actor play the role of his father director alma harel brings a sense of delicacy to a painful story that leaves you better off for having watched it bong joon hos historymaking take on class warfare and family strife was carefully crafted suspense at its best resulting in a rare movie that is as layered as it is accessible a delicious bollywoodish tale follows the love story of rachel constance wu and nick henry golding the twist being that nick is actually the son of one of the richest families in the world let the lavish gorgeous chaos ensue six uncomfortably hilarious fables of revenge play out in this argentinian anthology from writerdirector damián szifron which escalates relatable grudges into tales of apocalyptic revenge one of the most impactful immersive war movies of all time steven spielbergs cinematic achievement takes us as close to the front line as possible offering a human take on the chaos of war shimit amins iconic sports drama remains every bit the achievement it was when it came out giving us one of hindi cinemas greatest underdog stories led by an unforgettable srk as kabir khan
Oct 9 2020,positive, t begins with a flashback to one of the most pivotal scenes in the first film  elaborating on the apparent demise of gandalf ian mckellen the wizard as he fought off the deathly advances of a fiery demon in the underground dwarf mine graveyard frodo baggins elijah wood and his faithful hobbit companion sam gamgee sean astin continue their perilous protracted journey to mordor where they hope to destroy a powerful ring that threatens to empower the villainous sorcerer saruman christopher lee in turn saruman plots to resurrect the ancient evil of the dark lord sauron whose spiritual entity resides within the golden halo hellbent on conquering middle earth pursuing a band of cannibalistic orcs that have captured two additional hobbits merry dominic monaghan and pippin billy boyd are the remnants of the fellowship of the ring the elf legolas greenleaf orlando bloom the human aragorn viggo mortensen and the dwarf gimli john rhysdavies meanwhile as sarumans armies cut a swathe of death and destruction through the peaceful countryside several human soldiers of the kingdom of rohan are marked as traitors and banished from the realm eomer karl urban their leader commands a slaughter of the orcs further displacing merry and pippin who escape into the woods only to encounter the chief shepherd of the forest a branch and leafcovered giant called treebeard as the human population dwindles under sarumans massacres survivors flock to helms deep a stronghold of 300 warriors that appears hopelessly outnumbered by the army of more than 10000 barbarian troops marching to annihilate the fortress this immediate sequel to the hugely successful the lord of the rings the fellowship of the rings ups the ante on special effects featuring outstanding computer animation of the gollum character which was only briefly glimpsed in the first film his bodily movements facial contractions and splitpersonality voicework are greatly attributable to actor andy serkis and his motioncapture expertise treebird is equally impressive along with his throng of ents as well as the extra footage of the balrog and nazgul dragons once again the orc and goblin makeup effects and costuming are sublimely realized sets and props also continue to contribute to the overall visual appeal unfortunately the stunts are slightly more reliable on cg too causing them to be less rousing and convincing the hobbits remain clumsy recklessly impulsive and now at odds with one another creating their own additional dilemmas while numerous other haphazardly crafted circumstances prolong the penetration of mordors walls the inclusion of king theoden bernard hill of rohan the death of his son the evacuation of his city and the demonic possession of his soul offer little to strengthen or deepen the persevering main characters correspondingly the supporting role of servant grima wormtongue brad dourif is the least inspiring subvillain in the series designed without the usual subtlety of evildoers who have yet to reveal their misdeeds instead hes so clearly monstrous that his feigned allegiance borders on insulting to the audience his name is similarly ridiculous arwens liv tyler later pilgrimage away from rivendell also drags without an explanation of the afterlife or the beliefs surrounding it save for a hinting at a god or gods governing gandalfs reappearance the winning return of the unclearly powerful wizard appears as yet another contrived plot point its one of several that spring up during this middle chapter of the trilogy which already feels weighty with the slow progression of the story and flashbacks are even more prevalent than in the previous movie designating a signature narrative technique director peter jackson favors throughout the series but the climactic battle of helms deep  though it still leaves much to be resolved for the final part  is a breathtakingly colossal skirmish in the rain and mud and fog of nearly indescribable magnitude involving hundreds of extras and stunning action choreography which takes place concurrently with the comparably epic redemptive storming of sarumans tower designed by mike massie   20062024 gone with the twins  all movie related images  their respective owners articles on this site may not be distributed or reproduced without written consent
Feb 28 2020,positive,call it a pretty good film and ill agree with you call it a great one and i will beg to differ
Jun 18 2019,positive,it also has layers of political dynamics going on which i actually thought was pretty interesting
May 10 2019,positive,the two towers succeeds like few other middle installments do in serving as both a satisfying benchmark that ties the introduction and conclusion to this trilogy together
